count(dqid)	uid
88	A053FFB2-EF94-FFE8-DF3B-C60552CF9F48
80	5840DD50-B7EF-681E-B7D4-21981CB7A993
58	A19FA7A0-8BC8-9AB0-FF7F-BD2E892F927B
49	DEE846CE-CAEE-2D3D-9A03-ACF32EFD4DE0
43	39B61899-C4BD-0F05-DD6D-899081381DD4
40	AD586E8E-F173-13DD-9196-D97A705DF9BD
38	4179C13D-C78E-D6E1-BE41-1B3B3E9C18CE
38	AE68B137-46AA-7C29-9C46-124F825AA670
38	E5C4F86F-C723-E169-2575-4635EE7A002E
37	8AA0A234-262A-5745-60F2-0E756DB94F8D
37	B0C309F6-518C-4894-24C7-A23F65D2C86C
21	4A4B9FF5-D538-6B66-04A7-0C4FCE88859C
21	60DEB235-B0BE-50C4-F73F-619DA29C7852
21	A6EE622C-E3BB-5833-9A85-E82B20439D13
21	B403E539-1C4C-226B-4DE3-647A878C630E
21	EE44FFDE-34E1-5F39-38BC-7F1F3DBB5E8C
21	EF9D85E1-0F9F-B8B1-A832-1A6501F803E7
19	08D8158A-45EB-5872-727C-1FD3D6FB40D9
19	722758FA-C046-3117-C119-1ED2DFEA131A
19	797F40C7-3E9B-8784-FA75-712B57ADFB09
19	7D03317C-BA83-5AEC-A39F-5AEC24895694
19	92335C1B-ABC1-DC11-FE17-530B6EF2C863
19	944E11CF-8B6E-D58E-A77D-D02776D018F0
19	B659E28A-F476-001C-95B3-D4948F350B48
19	CF834AF1-21B9-18E9-7D76-ABFDC310C782
19	D21E5DD9-298C-6461-88BA-04A9A16CF699
19	DD996852-E4B4-F9E3-8634-5F62FBE9FDDA
18	24B2D6EE-54ED-D9F4-60FD-29304F4D8E92
18	33B01C6A-C424-9D2C-ACA0-F83CC8E26D5C
18	3C794EF8-6729-6591-7BBD-8D1939B1D43C
18	5714E241-C5F2-DCD2-79FF-4C3D2DA52341
18	57FFF080-4BCA-6CD3-AB24-AED83FBF93BB
18	967CB452-B8EE-62B5-AC91-F46EA1F07A89
18	9FC34ECA-DFCA-13B1-6007-6D0EB2760842
18	DE4DDBFE-9949-65B9-2D6F-22DC2A595CCB
18	E03AA936-D22C-ADD9-EE1D-0B691FFA6A0C
18	FD1B34B3-FEC1-366A-C79C-5D3A8C580341
18	FD748CEB-DEFD-B9ED-A813-B6F13B48A496
15	084E8882-D063-4AEA-B703-2C21599DB579
15	46C4E19F-2BCE-0408-4C79-5C4027116D62
15	59C1F193-167A-1346-4780-28310F1A5ECF
15	6787A9DC-3F26-1133-2D8F-3F514C03A24F
15	73B1A6AC-AA0E-EB2B-5F68-8CB85C2A1D67
15	85A58FC1-9F8D-C047-6452-C9FB48D4D290
15	D4453DE7-E38B-26C5-0841-0BF7939EE3DE
9	0353D509-1CB3-7E6C-4423-0C8C82441424
9	32853CB6-838E-AC18-3166-5688F0D4C7F2
9	3AB61F84-DB7B-009B-9C40-1E1D90D94C4B
9	4B698C96-2671-B10E-146D-0D1A13494B60
9	72C299E6-ECB5-61A7-26DC-B66D29CF3C15
9	8732D245-F18F-E47E-02E6-58636E7BBCF3
9	A34CE7EC-C8AF-FE5C-18F6-E8AEDA75DE31
9	B68D0C50-5581-4DB0-598A-999B7692E9CC
9	BD89258A-E161-2627-1BBC-508F816FA4CD
9	E1EDABA1-F9C0-543E-979F-F927299698ED
9	FA04E7C4-4EE4-D16D-B65F-1C500F8E2A6B
7	0CDD0A0F-B2AE-BD99-6A0C-911A0E1715E4
7	48D4D3DF-AD9F-7915-6EC7-9F0CDABAA67E
7	C2E4C919-1E08-F837-10DF-1E3C4FD41BDB
7	F675091E-3D90-60C0-3184-F0A30FB36674
6	F1A030A7-1C58-1A80-9E20-E2CCC5EC42EC
4	227DA808-836A-189A-A92A-B24EEACF2787
4	3BE0FFBA-CECD-7220-C16D-8047ADB51F26
4	B6A43698-A3C6-D633-F22D-95360B3EE08B
4	E0AC51BC-1CEA-6E53-0728-C28236490665
2	05420381-4EEC-7991-F512-27E4EC73138D
2	0B5AE36B-8066-D9DB-1D42-E993273EA1DC
2	0F7A4070-0A8C-DD14-1801-A0A2B2C00FC2
2	19FC31C3-8C18-94C4-57A4-4644A46B3833
2	1B6254AB-845A-BCB8-C5D5-91346636A875
2	66CC8442-B5CB-9F55-AF96-136851E55CAF
2	883DA6BB-4E3C-2BD8-AB0E-94677E05BFBB
2	8F32919E-7CB3-D2C7-971C-E114BC905CD9
2	92EEE7E6-09DC-7740-79FC-6E2305D54FAC
2	97964221-917C-26BA-C862-591A83544948
2	97964225-D538-66B5-3799-E2A1C35BB64C
2	9B37AC66-0F9E-6828-BF53-D4B8DB981D1D
2	B25ED12B-4D11-8146-A9FA-D8FF20E67526
2	B5C76860-2428-5D2A-D121-A103B19DDCCB
2	DD1174D8-1B2C-0E4E-D9CF-99A1302A170C
2	F0734CFA-8500-7355-5663-24DE6BCFCE7B
2	F2ACE626-34CA-CA13-8CFF-1BB88C3ED2C3
1	01DBBA8E-A93C-38D4-7D7D-49ECE6A99BC2
