count(dqid)	uid
76	BE1CE12D-C316-1D6D-C889-F1775ECAC866
24	02334B5E-9659-1341-4917-B1F67A202234
23	0E0FDBBF-7F92-CF25-379A-D192842558D6
19	B5B46005-D538-649D-BF13-480B0DBFF26C
18	3D3CE883-B35E-0C14-2684-3F7CEDBEE3EA
18	6D70AB3B-755E-58BE-5C40-70DE477E97B1
15	A4A57114-C429-7582-40EC-B7F48539947D
15	C2C31773-B35E-03E3-51FC-B7F4C06BB61A
14	1F1ECAAE-6E83-DE33-51FC-B7F41DBBB6C7
12	6869BDDF-7F92-C945-379C-B7F44E8994B6
11	4A4B9FFE-6E83-DB6A-C860-7B38B2488597
11	D3D20663-B35E-02FC-AE02-591AE3566B0A
10	B5B46008-08E5-B49A-C869-E2A199FCC161
10	F1F0244D-5DB0-E0D2-40E0-7B38FE877A24
9	B5B46007-F71A-4492-40EE-95D6871AA76E
8	6869BDD4-C429-794F-9D3D-A6E5ABD66BBD
8	97964223-B35E-06B4-268E-95D68178854A
8	C2C3177D-5DB0-E3E0-62C1-6A2920688514
8	E0E13555-D538-61C1-73DA-D192917AA73C
6	F1F02447-F71A-40D2-40EA-D192924BB62E
5	2C2DF994-C429-7D09-FB5F-84C7635CC1FD
5	6869BDDE-6E83-D94E-8C26-1D5E0BD77AB7
5	7978ACC8-08E5-B85C-AE03-480BE24DD0A1
5	7978ACCB-3BD6-8856-04AA-D1922DB885A2
5	A4A57115-D538-6589-FB56-1D5EA6011C7C
5	A4A57119-19F4-A585-3796-1D5E006BB670
5	C2C31777-F71A-43EF-9D34-3F7CE6011C1E
4	0E0FDBB3-B35E-0F21-73D2-591A006558DA
4	0E0FDBBC-4CA1-FF2C-AE00-7B38F06885D5
4	1F1ECAA1-917C-2E36-04A6-1D5E471449C8
4	1F1ECAA3-B35E-0E3C-AE0E-95D6106994CA
4	1F1ECAAB-3BD6-8E36-04AC-B7F43AC994C2
4	2C2DF990-806D-3D06-04A4-3F7C23533EF9
4	3D3CE883-B35E-0C13-51F3-480B8BDFF2EA
4	5B5A8EE6-E60B-5A7B-D978-F3B0553FF28F
