log_pl_id	uid	eid	log_ts	gid	cid	vid	client_ip	pl_detail	cd_id	sessionid	client_ts	host_domain	referrer_host	referrer_path	multiplayer_seqid
1	F1F02440-806D-30D6-04A9-E2A159F44929	0	1525999408	1800	1	1	73.42.206.234	{"user_agent":null}	0	F1C85C5A-96FF-0917-6BE6-310B29791CCB	1525999130000	NULL	NULL		0
2	6869BDDD-5DB0-E94A-C861-6A29E60EE3B4	0	1526000044	1800	1	1	73.42.206.234	{"user_agent":null}	0	1C322461-4958-598D-D613-0AB2E1ADE031	1525999766000	NULL	NULL		0
3	D3D20661-917C-22F5-3799-E2A1C35FF208	0	1526003482	1800	1	1	10.19.67.37	{"user_agent":null}	0	34CB7BAC-C815-D691-F030-2FB5B534953F	1526003203000	NULL	NULL		0
4	A4A57113-B35E-0583-51FA-D192E429947A	0	1526006537	1800	1	1	10.19.67.37	{"user_agent":null}	0	6082F8AE-DF74-D32D-4796-9CDC5B08625E	1526006259000	NULL	NULL		0
5	B5B46000-806D-349A-C861-6A2908EDD069	0	1526007058	1800	1	1	10.19.67.37	{"user_agent":null}	0	7DE54078-392B-56C1-6A27-DE9BDD3DCCE5	1526006780000	NULL	NULL		0
6	1F1ECAA6-E60B-5E39-FB5E-95D6AE822FCF	0	1526007423	1800	1	1	10.19.67.37	{"user_agent":null}	0	75149394-E42F-E729-ACC2-BEFEBDAE14E9	1526007145000	NULL	NULL		0
7	5B5A8EE2-A24F-1A7F-9D38-F3B0D9F77A8B	0	1526007701	1800	1	1	10.19.67.37	{"user_agent":null}	0	8CCF88F7-95D8-CEAD-0DA0-C02AD55B5CC9	1526007422000	NULL	NULL		0
8	7978ACC1-917C-285D-BF1B-C083AF911CA8	0	1526007821	1800	1	1	10.19.67.37	{"user_agent":null}	0	35304A12-C8BB-096A-9250-8E5B09638E3F	1526007543000	NULL	NULL		0
9	9796422C-4CA1-F6B2-40E7-0C4F8E811C45	0	1526008072	1800	1	1	10.19.67.37	{"user_agent":null}	0	B73F07BD-BBEB-ABFC-042B-6E09E724DAD0	1526007794000	NULL	NULL		0
10	0E0FDBB6-E60B-5F2A-C86C-B7F48DB33EDF	0	1526008120	1800	1	1	10.19.67.37	{"user_agent":null}	0	93E6C23F-754F-5DF9-719C-C03D6B9E226E	1526007842000	NULL	NULL		0
11	D3D20668-08E5-B2FF-9D3A-D19242444901	0	1526011260	1800	1	1	10.19.67.37	{"user_agent":null}	0	9C9F3827-2B3F-1742-8C5D-90BB02914209	1526010982000	NULL	NULL		0
12	97964228-08E5-B6BF-9D3E-95D68AC88541	0	1526014008	1800	1	1	10.19.67.37	{"user_agent":null}	0	21E4A0E8-75C2-2B6C-99C4-98DB9FF49DB1	1526013730000	NULL	NULL		0
13	C2C3177D-5DB0-E3E2-40E3-480B02488514	0	1526015697	1800	1	1	73.42.206.234	{"user_agent":null}	0	EE0D91BE-2BC6-3A76-346B-B652FD927EEF	1526015419000	NULL	NULL		0
14	86875331-917C-27A8-EA41-6A29B1755858	0	1526017916	1800	1	1	73.42.206.234	{"user_agent":null}	0	DB626BA7-8E10-3DD7-E820-A4723A324FC5	1526017637000	NULL	NULL		0
15	C2C3177C-4CA1-F3E3-51F3-480B742FF215	0	1526018153	1800	1	1	73.42.206.234	{"user_agent":null}	0	619A16F1-6854-C09E-8A24-C4B22221B3E3	1526017874000	NULL	NULL		0
16	7978ACC7-F71A-4856-04A6-1D5E306558AE	0	1526018218	1800	1	1	73.42.206.234	{"user_agent":null}	0	6FB65491-1E5E-487D-BD94-0D9A0FDD716F	1526017940000	NULL	NULL		0
17	3D3CE883-B35E-0C1F-9D3F-84C7653DD0EA	0	1526018469	1800	1	1	73.42.206.234	{"user_agent":null}	0	E55A259D-FDA6-CA45-128D-A345B09EB335	1526018190000	NULL	NULL		0
