qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
1	30D6767E-213C-6782-A3DC-5081D11B28F5	261	NULL	NULL	NULL	1526062521000	NULL
1	0B53166F-8E3B-68D3-FD89-71B1924E8A6F	262	263	{"goalTime":"7:35"}	{"time":0,"won":true}	1526062521000	1526062538000
1	8E46526E-5179-F07E-3BE1-AEB36EE1EC77	454	NULL	NULL	NULL	1526078368553	NULL
1	A8BC4D41-F388-B452-8CB9-D00053650477	455	456	{"goalTime":"7:35"}	{"won":true,"time":0}	1526078368558	1526078393718
1	85E64D24-F3B9-8D66-84AD-6F06B4D479A4	471	NULL	NULL	NULL	1526078601749	NULL
1	AF5A336B-DD2A-90EE-1F5C-2A93F5962F53	472	NULL	{"goalTime":"7:35"}	NULL	1526078601752	NULL
1	DAA9B21E-7584-ACE9-E399-6C51C6A91743	478	NULL	NULL	NULL	1526078758784	NULL
1	C5CD1B26-3301-D4C4-32F6-B68362C6C5C0	479	485	{"goalTime":"7:35"}	{"won":true,"time":0}	1526078758792	1526078799204
1	3D8878DA-A753-B931-A7C7-227C933D90E2	483	NULL	NULL	NULL	1526078794880	NULL
1	498D952C-000B-835C-6C33-EDFEFFB98E7B	484	NULL	{"goalTime":"7:35"}	NULL	1526078794885	NULL
1	A2A59399-DCF7-E2FE-FC44-C38FCA178C97	502	NULL	NULL	NULL	1526078964752	NULL
1	FC6151B1-DF52-537A-3AC2-366D0991FEEC	503	506	{"goalTime":"7:35"}	{"won":true,"time":0}	1526078964756	1526079003945
1	62352D3D-A4E5-AFCE-A2B9-DA53D8DF53E8	523	NULL	NULL	NULL	1526079118852	NULL
1	C19915A8-776B-8F27-3481-B5EA34022BBA	524	NULL	{"goalTime":"7:35"}	NULL	1526079118855	NULL
1	EF91A054-97EE-6AE6-4545-277C7DEFD943	530	NULL	NULL	NULL	1526079160234	NULL
1	223D5266-8F39-E93C-EF0F-572640C64621	531	NULL	{"goalTime":"7:35"}	NULL	1526079160241	NULL
1	933F725A-8796-7B3F-984C-AF41B5E825FE	532	NULL	NULL	NULL	1526079276717	NULL
1	50EE5813-BEB9-85E3-3DEB-57F19B53C0D4	533	534	{"goalTime":"7:35"}	{"won":true,"time":0}	1526079276722	1526079299980
1	BBE5BA27-BF6D-8218-FCE9-0C7557560AF0	548	NULL	NULL	NULL	1526079664509	NULL
1	49FD1952-50E6-2B26-CBD5-D9EF56974E9D	549	NULL	{"goalTime":"7:35"}	NULL	1526079664513	NULL
1	BBFDA1BF-01C0-CA7C-D61A-0541950D2078	560	NULL	NULL	NULL	1526080818972	NULL
1	4939676C-A494-F02E-D6EB-A13BFD917573	561	562	{"goalTime":"7:35"}	{"won":true,"time":0}	1526080818975	1526080855609
1	B93B18F8-8019-3C33-FE2D-1AA575F10E8E	569	NULL	NULL	NULL	1526082209999	NULL
1	FB460B0E-A160-4FAC-2C29-E22892693094	570	NULL	{"goalTime":"7:35"}	NULL	1526082210005	NULL
1	8F54955A-0D54-BCF9-8EC1-ADCF1E036147	571	577	{"goalTime":"7:35"}	{"won":true,"time":0}	1526082407696	1526082462172
1	99E583C9-2398-A728-5EC2-B82DE62F8113	572	NULL	NULL	NULL	1526082407681	NULL
1	2B5ED469-B99C-E519-FF61-50FA12A64D39	573	NULL	NULL	NULL	1526082420824	NULL
1	49C3B9BA-4DC8-36E9-5087-D5AE2FDA70B7	574	575	{"goalTime":"7:35"}	{"won":true,"time":0}	1526082420835	1526082454040
1	B74376EE-516F-8B4F-7CBE-654E4BE9EC44	582	NULL	NULL	NULL	1526082515941	NULL
1	1BB52567-4931-D4B8-2508-FFE8508F020A	583	586	{"goalTime":"7:35"}	{"won":true,"time":0}	1526082515945	1526082553289
1	831F8090-6922-8DDC-B9FD-85A3682295A2	594	NULL	NULL	NULL	1526082606865	NULL
1	A577A8BF-DAC9-7414-6F43-C2F3EF27C5EE	595	599	{"goalTime":"7:35"}	{"won":true,"time":0}	1526082606869	1526082640949
1	65E19C41-6BB5-DA34-3F3A-34688B216621	622	NULL	{"goalTime":"7:35"}	NULL	1526083098261	NULL
1	86C52B8D-892F-A3AB-3D6E-E9E78822792D	623	624	NULL	{"won":true,"time":0}	1526083098253	1526083143108
1	77DA474B-59B4-A982-74F3-9B4621E681B5	643	645	{"goalTime":"7:35"}	{"won":true,"time":0}	1526083437367	1526083454771
1	12B10C8D-128B-A771-F2FA-5746F286218A	644	NULL	NULL	NULL	1526083437364	NULL
1	D2490A3B-E76C-2A37-5CC0-903A1987D3C4	651	NULL	NULL	NULL	1526083482566	NULL
1	517E84AC-AAFA-3A35-A55E-166A9289EFBD	652	NULL	{"goalTime":"7:35"}	NULL	1526083482571	NULL
1	851B6F02-5D6C-7689-0D6B-12F64C6A6B12	677	NULL	NULL	NULL	1526083806364	NULL
1	AE9BB777-554F-7965-451B-4358EA4BCE4A	678	679	{"goalTime":"7:35"}	{"won":true,"time":0}	1526083806369	1526083850907
1	F2FF22DA-9BA2-6D6F-0B8E-BC478FE76371	712	NULL	NULL	NULL	1526085166195	NULL
1	539FE341-2F12-8EF1-1152-69C2B451DEEA	713	714	{"goalTime":"7:35"}	{"won":true,"time":0}	1526085166199	1526085197394
1	840DA964-1A41-F5F0-93AA-3147FBEC1097	737	741	{"goalTime":"7:35"}	{"won":true,"time":0}	1526085818348	1526085857926
1	BFAAABA9-630F-21DD-5139-C3A6A671DA16	738	NULL	NULL	NULL	1526085818345	NULL
1	47FD38FD-D82F-9239-4371-518FB13FD089	752	757	NULL	{"won":true,"time":0}	1526086037629	1526086053208
1	1FF5AE7E-984E-691F-451A-DF1BEC4C9059	753	NULL	{"goalTime":"7:35"}	NULL	1526086037634	NULL
1	58F59DDE-5CBB-8AD0-9054-20D5F8414990	819	NULL	NULL	NULL	1526088420593	NULL
1	1F89C90A-6D67-BA11-8C0A-B1949D8ACE5F	820	824	{"goalTime":"7:35"}	{"won":true,"time":0}	1526088420616	1526088467159
1	61DBC10B-E4F5-714B-CF15-024263F9D932	829	NULL	NULL	NULL	1526088630233	NULL
1	FCFD5804-FAA7-778B-EF7A-9164A78A0C0C	830	832	{"goalTime":"7:35"}	{"won":true,"time":0}	1526088630248	1526088677533
1	EF3A0972-F645-2AB6-FD2C-3D328BB580E3	838	NULL	NULL	NULL	1526088738563	NULL
1	3ACF330E-D013-A34D-D844-73B1BA27CD31	839	843	{"goalTime":"7:35"}	{"won":true,"time":0}	1526088738567	1526088770869
1	5E1C7F34-347C-14BB-DC6F-74E31ECAB6F1	895	NULL	NULL	NULL	1526098638688	NULL
1	ECD53609-47BE-7D39-AEC1-9852832D8B28	896	897	{"goalTime":"7:35"}	{"won":true,"time":0}	1526098638691	1526098651852
1	8F43E9EC-0C0B-C90D-4B52-A99AEF4383CF	914	NULL	NULL	NULL	1526100288604	NULL
1	C6AE3D95-1329-6C17-BF1E-4699C43F4182	915	918	{"goalTime":"7:35"}	{"won":true,"time":0}	1526100288620	1526100317932
1	4A07364E-7A29-3372-1E98-741323FE0196	916	NULL	NULL	NULL	1526100292936	NULL
1	939A510F-F715-82EF-DFD2-1F3941E326BE	917	920	{"goalTime":"7:35"}	{"won":true,"time":0}	1526100292941	1526100347717
1	A42A35D3-4FA9-E145-A5FF-1CAA624A0C7E	922	NULL	NULL	NULL	1526100391481	NULL
1	139EC728-DA09-18FE-3CE6-63D567DE7E95	923	927	{"goalTime":"7:35"}	{"won":true,"time":0}	1526100391496	1526100424862
1	CA151B4E-6E6A-BC52-6422-200B1F04773F	945	NULL	{"goalTime":"7:35"}	NULL	1526100775509	NULL
1	BB2640E4-CBDB-114A-BC00-1777B76FB4B4	946	947	NULL	{"won":true,"time":0}	1526100775508	1526100791412
1	192EFDB5-4B83-3B14-D1A5-EB1FE9A332F5	957	NULL	NULL	NULL	1526100936936	NULL
1	BB90DD6B-0BAD-FC07-7001-86EF536681ED	958	959	{"goalTime":"7:35"}	{"won":true,"time":0}	1526100936940	1526100950947
1	89CE463A-362C-3BE0-F266-930B21E2C871	969	NULL	NULL	NULL	1526102188264	NULL
1	44611029-D1DA-4F9C-6DF9-29AB15A03B1E	970	971	{"goalTime":"7:35"}	{"won":true,"time":0}	1526102188266	1526102214498
1	CBD9A1D9-249F-B3C1-17A8-05D6898F8F39	978	NULL	{"goalTime":"7:35"}	NULL	1526103472764	NULL
1	11D01F86-D162-0733-7B17-155D5AC9D915	979	980	NULL	{"won":true,"time":0}	1526103472758	1526103521589
1	04E4906B-D38B-2E03-BE16-96DA4D6DEF0A	987	NULL	{"goalTime":"7:35"}	NULL	1526105250572	NULL
1	F0CD434E-534F-ED3D-BAB1-0C58E34BC1CD	988	NULL	NULL	NULL	1526105250569	NULL
1	C2574A03-CAC1-F010-5828-BA18122F1E70	989	991	NULL	{"won":true,"time":0}	1526105566056	1526105604430
1	AEACDD45-ECAD-B690-2C45-E2757F35936A	990	NULL	{"goalTime":"7:35"}	NULL	1526105566074	NULL
1	4BB2C32B-9F88-3225-EB96-AEF6FB5F6D34	1004	1006	{"goalTime":"7:35"}	{"won":true,"time":0}	1526105946829	1526105970017
1	D18AF7D8-4614-997F-AC2C-AC36AC06FFA6	1005	NULL	NULL	NULL	1526105946823	NULL
1	3161F45D-E758-3E04-11AB-3D51971B03A5	1011	NULL	{"goalTime":"7:35"}	NULL	1526106039689	NULL
1	7391F611-21B0-0864-7B3B-B652A41F8B81	1012	1016	NULL	{"won":true,"time":0}	1526106039685	1526106071779
1	9739BA11-E48D-5D82-3584-683BC9E420B3	1032	1037	{"goalTime":"7:35"}	{"won":true,"time":0}	1526106237822	1526106257310
1	B5BA5255-F898-3EAE-64E3-A9DB14F275AF	1033	NULL	NULL	NULL	1526106237810	NULL
1	3611D645-B12E-1ACA-385A-95870063A079	1064	1073	{"goalTime":"7:35"}	{"won":true,"time":0}	1526106556687	1526106591151
1	CC6D90AF-9F41-EAE2-359C-23BCCC4FBEDA	1065	NULL	NULL	NULL	1526106556682	NULL
1	D336EA63-F5C9-01D5-B692-59895C4508A2	1067	NULL	NULL	NULL	1526106540251	NULL
1	51BA4EFF-A6D3-06F6-6A42-256CBCB6DF00	1068	1071	{"goalTime":"7:35"}	{"won":true,"time":0}	1526106540255	1526106563090
1	866CC9CC-98C1-BE09-BD02-45FF59C6D578	1069	NULL	{"goalTime":"7:35"}	NULL	1526106565913	NULL
1	00DD681E-C88B-0925-9530-E85943C67A09	1070	NULL	NULL	NULL	1526106565898	NULL
1	DE26188E-1C5F-7547-7B94-C88268C9F5CC	1079	NULL	{"goalTime":"7:35"}	NULL	1526106609415	NULL
1	45782674-F45F-5A77-D57E-365CBF085E74	1080	1089	NULL	{"won":true,"time":0}	1526106609402	1526106649722
1	389D08AB-52FD-2AB3-55AE-C34D1801B1F6	1111	NULL	NULL	NULL	1526106724824	NULL
1	67646470-6773-1A5A-4FFD-1E810E90F43E	1112	1116	{"goalTime":"7:35"}	{"won":true,"time":0}	1526106724827	1526106743996
