qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
5	72FB65DE-BA86-F051-D048-0DD9C7E9B50E	272	NULL	{"goalTime":"6:55"}	NULL	1526062647000	NULL
5	18EA8995-BE17-1801-2789-5C1A4BBA3350	273	274	NULL	{"time":19.616666666667,"answer":"07:35","won":false}	1526062648000	1526062675000
5	D3236D92-FC7D-F425-D5BD-3A91D48268E1	464	NULL	{"goalTime":"6:55"}	NULL	1526078541545	NULL
5	7818756A-EFC1-FC93-AB0E-F3AC085E2ACD	465	466	NULL	{"won":true,"time":22.5}	1526078541546	1526078574985
5	8BDE91B9-DDBF-F8FC-28D6-FB636C5ED1DD	495	501	{"goalTime":"6:55"}	{"won":true,"time":19.5}	1526078925522	1526078963045
5	4030790B-84E2-1DEF-99D8-8D9109AB2633	496	NULL	NULL	NULL	1526078925522	NULL
5	475386D5-AE11-9AE2-CE2A-573BA3AE988D	520	NULL	{"goalTime":"6:55"}	NULL	1526079101058	NULL
5	7187DAD5-E678-5208-4C3A-693A33C78304	521	527	NULL	{"won":false,"time":30.766666666666,"answer":"80:88"}	1526079101058	1526079143164
5	880779DC-765B-B826-6F4F-019892C13ECD	543	NULL	{"goalTime":"6:55"}	NULL	1526079514210	NULL
5	B5AAE6E7-D491-53D9-F276-AB2D8D6D55A2	544	545	NULL	{"won":true,"time":39.866666666666}	1526079514211	1526079569209
5	77B9D66F-05E5-F45A-4FA7-3B301C2844C8	589	596	NULL	{"won":true,"time":28.866666666666}	1526082572793	1526082620674
5	0D22D5FE-03CD-A2EA-9331-8A5C2541806C	590	NULL	{"goalTime":"6:55"}	NULL	1526082572792	NULL
5	90CFEAC1-27AE-CFB1-7DE3-A4D93E428D30	612	614	{"goalTime":"6:55"}	{"won":true,"time":40.133333333332}	1526082808131	1526082866367
5	C466AEC9-C0DC-6588-8027-BE0C4B18F3B7	613	NULL	NULL	NULL	1526082808131	NULL
5	8AEE9F60-061F-3A8D-45CA-7FF9030807B0	633	635	NULL	{"won":true,"time":45.416666666665}	1526083290698	1526083348444
5	D4603944-E373-8E50-E196-8B476B1801E5	634	NULL	{"goalTime":"6:55"}	NULL	1526083290697	NULL
5	DAA7D738-8C47-C572-C142-52105D90EC3E	658	NULL	NULL	NULL	1526083526413	NULL
5	E2A1F735-24B5-8A6A-AD09-16DB089553A4	659	662	{"goalTime":"6:55"}	{"won":true,"time":18.316666666667}	1526083526412	1526083550453
5	97B3C814-8EB0-3857-3D33-49BA794A2CEC	687	689	{"goalTime":"6:55"}	{"won":true,"time":35.333333333333}	1526084038822	1526084091706
5	2702542F-FA56-BB1E-F2A2-A2E8D292790C	688	NULL	NULL	NULL	1526084038824	NULL
5	8857CDB5-3FDF-F057-900D-F2BE5A7820DA	726	NULL	{"goalTime":"6:55"}	NULL	1526085362276	NULL
