log_no_quest_id	gid	cid	log_ts	aid	a_detail	uid	vid	sessionid	session_seqid	client_ts	multiplayer_uid	multiplayer_seqid										
1	1800	1	1526006287	1	NULL	A4A57113-B35E-0583-51FA-D192E429947A	1	6082F8AE-DF74-D32D-4796-9CDC5B08625E	1	1.52601E+12	NULL	0										
2	1800	1	1526015436	1	NULL	C2C3177D-5DB0-E3E2-40E3-480B02488514	1	EE0D91BE-2BC6-3A76-346B-B652FD927EEF	1	1.52602E+12	NULL	0										
3	1800	1	1526018715	1	NULL	C2C3177D-5DB0-E3E0-62C1-6A2920688514	1	2E21BD52-A38A-115D-E4BA-471C1103C196	1	1.52602E+12	NULL	0										
4	1800	1	1526019113	1	NULL	B5B46005-D538-6492-40EC-B7F42F922F6C	1	2D229F1D-CF38-7307-3DD3-EE56CBD0A924	1	1.52602E+12	NULL	0										
5	1800	1	1526020585	1	NULL	F1F0244D-5DB0-E0D2-40E0-7B38FE877A24	1	78D1B3F8-3BED-5F2E-C4B8-7124BC54932D	1	1.52602E+12	NULL	0										
6	1800	1	1526020948	1	NULL	6869BDDF-7F92-C945-379C-B7F44E8994B6	1	000B5E5B-072A-DBDB-B15E-1CE519C7F23A	1	1.52602E+12	NULL	0										
7	1800	1	1526021339	1	NULL	0E0FDBBC-4CA1-FF2C-AE00-7B38F06885D5	1	F3412641-E3B1-A45A-3452-0576B217559A	1	1.52602E+12	NULL	0										
8	1800	1	1526021451	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	A03DF736-25F3-C23D-91B9-2EB7C3053875	1	1.52602E+12	NULL	0										
9	1800	1	1526021476	5	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	A03DF736-25F3-C23D-91B9-2EB7C3053875	4	1.52602E+12	NULL	0										
10	1800	1	1526021498	5	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	08F40749-B294-5286-8AF8-1935EE5A8531	1	1.52602E+12	NULL	0										
11	1800	1	1526021499	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	08F40749-B294-5286-8AF8-1935EE5A8531	2	1.52602E+12	NULL	0										
12	1800	1	1526022100	5	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	00B48EF6-3356-3EF0-7282-A721E4289BCF	1	1.52602E+12	NULL	0										
13	1800	1	1526022119	1	NULL	BE1CE12D-C316-1D6D-C889-F1775ECAC866	1	00B48EF6-3356-3EF0-7282-A721E4289BCF	2	1.52602E+12	NULL	0										
