count(dqid)	uid
12	018A754F-E9DB-EE97-B5B4-E9CE326DFBD6
9	018C510C-76E1-C831-0653-29EFD70FB0BF
30	01C14B1C-1822-1DD5-FCCB-6519EFD9FD8D
13	02BCAF48-730C-F7E1-ADD5-CF89FEC3733A
30	03DECA99-A18E-7F35-A6BA-4E4DF33A5EC8
17	0520CDFA-A849-EE38-6913-5256174523E5
9	067D8BB8-58D0-3130-526F-D4A489A07B86
20	07F2E72E-A31F-02E3-5E84-99A14FB0D276
9	08C0DBD6-B1AF-03B5-A03B-3C6CA6531883
31	09AEBAB9-53C1-5A47-A3BB-510F04409BAE
19	0B248523-390A-03AB-1445-570E8DAEC096
29	0BE34FE7-9830-759F-0F2F-53B8B7ACBA11
15	12C43C1C-CCD2-F8BE-7C2B-88C22AF2317B
9	13A62DE0-8068-993B-6876-291D0FD1FCCB
24	16B2B09E-7034-A7E4-C590-E9851C3A6505
2	196D4DD6-9011-2DEF-720B-26DB32AC8330
30	1AD17A65-2647-ADA4-0323-A250A8F27B6F
9	1B4E18D3-8A75-AB0D-462A-1D9ECC70A0EA
15	1D00EFEB-96AA-5001-0792-B48B8EE8F03E
32	1ED609FA-90C0-3D2E-AC0E-C83D296285C9
13	1F2BCF82-17C2-244B-3E0D-61379E03A165
30	1F6C221B-0D7F-B5C4-79E2-37F036C541AC
9	206AB613-E131-EDAD-F45E-AC36EBA721F8
21	267A8A64-592B-1711-046F-A9998B500B5C
9	28592146-30B7-305D-7A78-2E84E947C1CC
9	28EB91B2-2A5B-9A81-6B11-A866B7038856
9	2AFEBF21-598E-39DF-6CEA-8BF90B56BF81
29	2ECDDFFA-F4EE-5230-2CA9-39236C2C426F
2	2F5B8D0E-F359-D676-133C-FEF5CD93D3B1
31	32DDD0CB-CA60-28F1-4EB3-E2D22A67FE73
12	36D153AB-0BAF-26FB-46E1-E07F65621B6F
13	3874E127-9588-1D58-A401-FFE33B96CB83
12	393E7D61-357D-E0A0-0390-380E941E7408
27	39EFE5DC-6548-ECB3-423D-89114470D391
7	3B979FE3-B67B-EE6E-E90F-C3936E47C572
9	3C934B36-FEF6-4E1A-9548-2C7ECDFC8302
20	41299AD2-2343-D624-D9B0-5577B870BD7F
23	42AD6B24-B82A-3FC3-F29C-BF010EC98E0A
30	42B6A166-7499-E4A9-313D-62C79B2215D4
4	431A18E2-065A-4591-2283-71DF67FB318C
2	45737D00-110E-1CE8-A3A3-888448AE6B99
9	4ACD83BD-CB8A-BA1D-7E53-67DD7154CD34
33	4BD45A2F-3DD1-C915-0F03-D8907FD89C4C
9	4BF2AB5D-94B4-0DD7-73EB-781A242B290F
13	4C628EC2-4DE7-268F-5E5A-AFAE084261BF
17	4C710F2A-1F66-5420-2199-4881888AC714
19	4CEA98B5-87A8-11E8-7D33-066BEC91C851
19	4E18C53E-B8AB-6956-1106-E83E2625D52C
32	4FBC4742-4930-5E0C-6A51-1174A3BB5E24
19	55DCEDF7-A014-79E0-52CB-35ED28C27587
13	56C7EE1D-BB45-7CC8-F2CD-3399965687F0
9	5792A318-C2E1-9CC5-5CC9-65C93122446D
9	58109612-A500-A90D-2A1B-7A41830B9AFE
13	5A08FA31-4CD3-1922-33FD-993898B58C6F
2	5A9C5BE2-F9BF-50F3-B8C9-4F96EF484116
10	5B327277-A251-6068-5FF8-B38B6197E612
17	5B90E703-443A-F5B3-99C8-82AECA605238
9	5BAF58BE-34A8-8BEE-8CD6-EE42CC0AAC8A
11	5BB31680-E88B-E3E2-131A-2E9F87B9AD31
88	5C9CF2ED-0723-3DB4-37DF-D5A248EB713F
24	5CE05F83-0A52-5AEF-42B7-2C35D9137688
23	5DEFB059-9F29-1336-26D4-FE88DDAF82F3
11	5DF50D48-C9FB-E85B-D446-77683CAF1832
30	5DF58500-4E29-DAFC-5990-E6F16324E084
30	5F26BD7B-8C1A-C481-B6C7-75C9081BA16B
13	62236363-7284-0D9E-71FA-D953BC994E20
24	6367EE13-2081-18EC-7E0E-A7E0FE40478B
9	639654C6-2E63-B017-55F9-92C6F71C91C7
7	6533826F-87B4-C5DD-9B29-4642A8C16333
9	66A12909-D6AE-C19A-D1DB-38AAFEE525DD
11	67FF4607-F6B9-9C3C-5804-63E321E6DFC1
8	6B5FEA65-5358-4585-8F22-E0CE6F411955
39	6B67D610-D5CA-6D17-D58E-DF5E04C40706
30	6C073851-E81E-ECD1-6539-80F3D8F91D40
21	6F907322-CB8B-A3A0-A1F4-DEF60AD082E6
19	70E3D59F-ECC2-B0AC-1874-AE94BFC1413B
48	74196C82-8A79-683E-98AD-AF1389E77E4B
32	741D1D78-5827-3DB8-ACC8-36EA0FAB194B
23	749262FA-26A3-C33F-68A8-9E8B6C558276
13	7DA52277-DFF4-5B00-9C52-43F305F7A58D
19	7E9F75E1-49F3-B7AC-6E1B-50B52F10C750
12	7F3E1C0F-EC78-D87D-A60F-F8782B6392B1
21	7F8817B0-D1ED-4B5B-C429-D98606D119BD
34	80BF7E4E-A44A-6473-A39C-24E5E547D329
13	819D0A9B-BE7E-323C-7962-3B455062C820
15	81A70594-A46F-7C87-3D6A-92AB4595931E
23	859F2897-5820-D2CA-8BDB-B496B533615A
9	8642F713-F913-EEEC-5E9D-CDFADA67ADFF
9	864E624C-5ECE-CBC5-8E21-F3B00BCB6A7C
12	892431AF-AE48-A283-712B-360CE4DDE970
7	89CE551B-27BD-A15C-29B8-AA2DB2E98037
8	8D3809FE-0EA0-8CFF-9B06-FEB2B20CC26A
31	8D858C6D-A921-773A-5CD1-A5294164BADF
10	9010DE7A-0254-5531-D00E-4BAC84A1A6AC
15	9058BAEA-5DE6-1182-2CCB-95C49F300DB3
9	9070A69D-FE3E-D55F-43F3-BE87B4B4F473
4	91FA2399-671C-49C2-DA54-A49C2A97D8C3
19	937CCC28-3E6C-EF74-066D-9172E376DEBC
13	94B8525B-33E8-4670-CE17-7828BEBA93F4
30	95609943-91BE-AAA9-C86E-E525AF3F5C53
30	961B5569-CAE9-EE71-67FE-E404A2DAE4CF
31	96BB998B-0E2F-27C6-F0D7-4B4F9DB0F566
15	97EF5148-5D5F-327C-4548-798112B94067
9	9C653391-DFB3-C039-29C6-EE8AD5B0E57E
12	9DF97840-72EB-E5D1-356D-C5427E5C1847
9	9E090EB8-0EB8-E503-D80F-36606428E9D6
27	A21F1C3D-049B-238F-6229-407D46B7CC26
9	A38703CF-D84E-9382-9ED4-029304F6B0AB
15	A3CD4A3B-433B-3012-1DF5-AF0E821E8EB8
13	A4A59DAC-AECC-EE8F-6075-B3999E61E451
9	A535FDBB-B80E-9E55-1E91-92B5A0C8FF89
9	A6000EE8-D5B4-EA06-3A24-F233392BBFE3
9	A643AB09-E97D-B2AF-FFD3-9D228C1E1845
11	A713E2AE-C439-420A-F026-FC0B19686F5C
9	A7182F9F-441B-5B1A-F6C9-A51C73F13C82
9	A7D66E5A-6C5A-C94E-7DFA-8E9E6F943145
13	A7E2A668-065B-8379-F755-D22E0C29E099
30	A81310E0-4E33-8552-50A5-50F183DF6B6E
30	A876D7BF-0534-6045-80CB-E3B5FDD98DAC
13	A8E4E304-3B99-5AEC-E3A0-EC3B5A9E0693
30	A8F5D177-3684-E400-2B1A-B96D13E45DB0
9	AA2BEB31-6101-5397-D850-9A269F9F3777
23	AC60DA27-6B91-02B7-12D8-F4239FECA681
4	AE1ED9FA-4BED-9785-B4A0-DBF09C5522DD
9	AF07DC00-9478-B468-5A41-CC40E318A164
4	AF5BF4DF-F38E-A4C5-6BC2-AD00040D0CE8
30	AF83B284-3470-C64F-3BEF-5E62D897C683
9	B04F10DD-C7A9-0AAF-1B4F-0BE8BB8CB7EA
17	B19949E0-0146-0A9B-2316-703626F27391
29	B2B47E4E-4D69-1E0B-3A3B-440D29E8F74E
9	B4C87EC3-1739-594C-30EA-91C75648C4B4
23	B60F0CFF-FF28-32D4-94BC-8A64C8C03A74
9	B7839141-0D3C-3B4C-E8BA-EF31334813F5
9	B816DE87-90B5-1A07-005C-2FBB152A79D2
9	B8E42FB0-BFA5-8E83-F936-C4C2B304FCA9
9	BBECCBA2-AACA-AEAF-F2B7-26BBE3BAC31A
41	BD19AFD1-77FD-6BDE-3BC8-5E1636DB3A95
30	BE833AE6-2243-7C86-3225-6E19C35E9289
9	C22DD232-0951-F857-8B7A-5550353890AA
12	C3ED277F-3A55-A2AF-2EE6-6404BD84ABE3
16	C8A2E72C-8395-8C61-4893-C28AE283A84D
30	C8C560D5-556D-D4D4-7197-E8E06E13929D
9	CB616AF6-13F9-8018-E130-527EB13ECBA2
9	CBB9F96D-76A3-4AC8-B81B-54D0969E00F0
9	CC6A4D6F-E75F-2B86-2B7F-0607CA3FE82B
11	CD1CFEF4-F39A-A5FA-5049-B56788A9F900
13	CD53BF5A-A278-13E8-1C31-3DB22D68F071
30	CFECEC86-372C-B4FC-61E6-8403176D1D3A
9	D1706606-F620-F7FA-EBCF-E24A0E3F5B8B
4	D3081786-DF49-F12A-9E92-A409D88A91FA
32	D366787F-CC6D-0E19-CF11-CC1247066630
8	D3CF1D09-6F69-87FC-F193-D6D163293460
19	D4A815FD-4B55-8A70-99E8-90D03240F26F
11	D51EC524-1992-B025-0BC7-EDAA97F8DD77
9	D5E18813-6D2C-DDF0-F60D-3FF2AA522C6C
15	D65A30DA-2D01-6812-39A1-B7C94B0D456D
15	D6834284-94CA-ADD3-C78C-38F379279A19
29	D7EBE8F7-46FE-DEB1-456A-B18EB8959D70
22	D974DD9E-F1BF-88B0-2AC2-742EB7051BFA
30	D98C37C9-4A94-9476-4E00-3FB01B0694B1
30	DAEE9BFE-8CF9-642E-CF62-2B3E6A1BA692
17	DC5A6718-83BD-68F7-A158-F9805C4837F2
9	DD016DBB-4DCC-8542-B962-BCDE493EC14D
12	DD36D311-8948-C55A-775A-AFF1192DCE1B
33	DEE9899E-502F-4941-6189-BFEFFF655593
9	E0003D7E-C05D-3F2F-4F13-41315B6E3AE4
13	E18A1F36-34F0-FCE6-7B20-2006BE659D44
27	E51F563D-CDFE-9BDB-0D4D-399873283C1E
9	E5538082-C9C7-4E20-6DC4-31CA4E6C18FB
23	E7245B28-00BD-9BEB-F22A-9079D1373306
7	E95CD485-5B47-520A-52FD-6F531B2759D7
10	E9E983AF-F273-CD4F-98BD-B5715F849D36
9	EEE20821-33F3-DF6F-D777-061FD8C73353
9	EF154675-4552-37BE-5938-9DE3A85A1384
3	EF682507-98DE-21C9-060B-C19A50B71A6A
9	F1E62428-4111-000F-E868-5BA2619C69D3
11	F2D3E924-C673-325F-A784-E8F498C6118A
9	F4F3D457-2C7A-66CD-FF24-AECB5BE4E338
17	F6523DD1-B1A5-B47B-88AA-161E14C6141E
17	F7580894-AED0-56CC-A398-F25621FC81ED
9	F7FD089D-08F9-59C5-5752-5D61411DE7BD
9	F847AEF3-5B1D-CD78-6412-609EEBDEDAAB
31	F9971062-424E-D271-BF92-11BA4342BF7A
11	FB6DDD7E-6749-8F04-05E3-3FB46C146E7F
30	FC22C18C-818C-2C92-C3E4-689EB79F4B7D
2	FC355882-95D6-37E3-A54D-859BE7CD2C79
12	FC455B4D-9051-423B-1B68-5DFF6575C755
9	FE9E3513-1B83-BE9C-9476-465C36CC44E1
23	null
