count(dqid)	uid
12	018A754F-E9DB-EE97-B5B4-E9CE326DFBD6
9	018C510C-76E1-C831-0653-29EFD70FB0BF
30	01C14B1C-1822-1DD5-FCCB-6519EFD9FD8D
9	020C3B91-0607-1919-E4BB-0C9CE230588D
11	025836FA-9677-5D31-7ECF-B7343668A4A2
28	02BCAF48-730C-F7E1-ADD5-CF89FEC3733A
31	03D939F7-08FD-41AF-40B7-8DE2410FE01D
30	03DECA99-A18E-7F35-A6BA-4E4DF33A5EC8
17	0520CDFA-A849-EE38-6913-5256174523E5
8	061D06D6-5129-0A99-9DAB-FACC97FE13BC
33	0621C25F-BD91-5B71-184E-7631041E3A67
9	06454238-F7E5-5997-96F9-4B5412AABC06
9	067D8BB8-58D0-3130-526F-D4A489A07B86
12	07115CEA-4F0B-9FFE-58E6-41EDE19DDF78
24	0740BFD1-17E5-7C48-B387-792043008702
20	07F2E72E-A31F-02E3-5E84-99A14FB0D276
9	080471D8-F478-508A-B4D9-F2FEA2FD4FB4
13	088A66D3-4E1C-FA16-6CAB-0FD05A559D38
9	08C0DBD6-B1AF-03B5-A03B-3C6CA6531883
12	091BA23E-54E2-6F94-0E07-87EF58E1AD17
21	09A3DB22-0E39-0DD0-8A95-174885C3A24F
31	09AEBAB9-53C1-5A47-A3BB-510F04409BAE
7	09B84FDF-8B93-B6BB-351A-2C35C57476EF
12	0A675FF7-6ABE-601E-5A5E-2F63DCF3F0E7
9	0AB8FB29-2F7D-AAB8-ECA6-A30A12D679F1
19	0B248523-390A-03AB-1445-570E8DAEC096
29	0BE34FE7-9830-759F-0F2F-53B8B7ACBA11
2	0C01A129-AA79-C348-44B6-D4B8FE3A3574
9	0CE68B45-08B8-0C37-2310-E3105A061D9D
7	0DFE13BA-0826-70CE-302F-C96325398BA4
29	0E46628E-0092-2D9C-C33A-E459FAAF1E49
4	0E7D95B9-BFE4-4952-9F1A-9F085D4E0F67
60	0EA31C7C-A848-82A3-BD18-B25A6766A915
17	0F552B42-37A3-1B6C-7B10-489933F4B9CF
16	0FA7517E-A01C-EB0F-2EF0-C5BD719B480F
2	102E702C-6132-911B-6FAF-D0EFC8759634
7	105771C1-B2B2-09DF-2676-B9E66236D804
9	1157B8FE-455B-6A87-23EB-588B5897DD58
11	124FF5D6-642A-2645-5E1D-2D3BC71D151F
15	12B52ABA-9EA9-711F-33BB-C01C91831C1F
15	12C43C1C-CCD2-F8BE-7C2B-88C22AF2317B
11	1367B453-E7EF-8B57-5BCC-E947CA701A25
9	13A62DE0-8068-993B-6876-291D0FD1FCCB
8	142A887D-6818-7F77-E682-F3B8A6980EF3
8	14E6767E-CB83-AE69-3329-00C71CF3EB95
15	150A19B0-8732-E8DA-7137-5CB0851EF7A4
11	15245318-ADBE-D2B6-A18A-B852058EE968
9	15B5801D-F1C7-F611-A4A3-9FC1762C0340
24	16B2B09E-7034-A7E4-C590-E9851C3A6505
9	1756EA64-B01F-0692-EC0F-22816B0AC866
30	182B2292-CA9F-06E3-3726-55845B345169
17	18A947F1-9BAE-E92E-E445-B064B5D1370B
20	18C2A920-EE8E-F72C-8B4F-351A22E5DAE4
26	192B6A75-30BC-D663-1D55-AAB7FBABE623
2	196D4DD6-9011-2DEF-720B-26DB32AC8330
13	1AA906DC-CA09-2C0E-B6C4-43D13737C650
30	1AD17A65-2647-ADA4-0323-A250A8F27B6F
9	1ADCEFB1-AF80-BDCB-D188-94E646B66311
9	1AF30BFD-A852-D467-509E-DC88CF0EED22
9	1B4E18D3-8A75-AB0D-462A-1D9ECC70A0EA
15	1D00EFEB-96AA-5001-0792-B48B8EE8F03E
13	1D76E508-D3E0-323B-4761-255B7EFA4819
13	1D9BC46B-DF21-A7A2-FAFA-6594888125AE
9	1DB5CEC6-B5CB-78C5-77D0-076A39D68710
29	1E849E66-9C29-14EF-3AD2-1B1E0CE77915
32	1ED609FA-90C0-3D2E-AC0E-C83D296285C9
13	1F2BCF82-17C2-244B-3E0D-61379E03A165
30	1F6C221B-0D7F-B5C4-79E2-37F036C541AC
14	20317359-7BD8-3165-42D2-89AC212829B9
29	20499E3E-83C8-B404-D1E2-CC1F723EEF18
29	205A9D52-E914-E1A8-F8E5-5006AF50B056
9	206AB613-E131-EDAD-F45E-AC36EBA721F8
9	20AE33DF-DB60-ECAA-6D3F-869D921E9722
9	23348603-4A5C-21A6-CCA6-B1130020CF0A
42	233BF018-64C5-2587-AE20-8F937BE7A574
21	237DEF2A-1C64-DC3B-CB06-2307FF894DEC
30	23DD4336-4FE1-8238-411A-6109A7C51F36
23	260E96C8-E52C-8216-E322-81EB0CD1AF8D
30	267A8A64-592B-1711-046F-A9998B500B5C
31	27B3D763-31E0-3D66-F5D6-A4FBC232E2BB
9	27DAA3BF-47D1-3E16-19BA-9878BD605E70
20	28090A97-4555-7C0D-8489-938610989273
30	28136648-5FD9-FF2E-AC02-55C26A885D66
4	2847982F-7E15-C15C-640C-42619DEBE2DF
9	28592146-30B7-305D-7A78-2E84E947C1CC
30	28C05C4F-FB75-8BE7-44BD-9B85ABF847F3
8	28C77D98-1CB9-60A0-69C0-B07C605D4D5F
9	28EB91B2-2A5B-9A81-6B11-A866B7038856
7	28F71CFA-19D4-8730-2E3C-4F0A6E07414F
11	2A294B71-5635-0804-0A51-B581DC293568
29	2A294BF1-07B8-528A-905D-2CB4AC146585
14	2AB743DA-875A-8510-0447-E3B254AF4ED3
25	2AFEBF21-598E-39DF-6CEA-8BF90B56BF81
2	2B6BC355-2C97-0B93-D5C0-B84B8B6433B6
27	2B701D1A-95F6-B76D-E513-7A7B243EFB62
16	2CCF0FF0-F7EB-C52C-A857-3C90204EF1C7
20	2CE4A831-2770-0DAD-62EC-10A327B82769
17	2E9CA699-BE26-7EC1-35D6-5EF53F9F6857
19	2EBBD014-62B3-0944-CE61-1C297F5CAE86
29	2ECDDFFA-F4EE-5230-2CA9-39236C2C426F
2	2F5B8D0E-F359-D676-133C-FEF5CD93D3B1
9	2F9DE08A-340B-B842-6E94-81E1F052D85E
9	30C50E16-E9DF-45C0-7F7D-F43BBFC4DFA4
9	315A0414-19AA-08E6-B59B-EE00EB831D9E
31	32DDD0CB-CA60-28F1-4EB3-E2D22A67FE73
13	339C3383-5910-501B-C47B-D97B13712B1B
9	3462CE45-C5D3-4149-5665-90F3C71A0947
30	3635F95B-A04F-1C4D-6B27-2EFAAF46C27C
12	36D153AB-0BAF-26FB-46E1-E07F65621B6F
8	37AB5EA2-0F08-B401-ABDF-C772BDD8B18C
9	382178B5-DB49-871B-A771-330E7A88A7FB
13	3874E127-9588-1D58-A401-FFE33B96CB83
12	393E7D61-357D-E0A0-0390-380E941E7408
30	399DBD05-9866-58FE-894A-8BD78709D7D4
27	39EFE5DC-6548-ECB3-423D-89114470D391
13	3A9E8F54-02E3-5958-462B-D26B61AA7C1E
7	3B979FE3-B67B-EE6E-E90F-C3936E47C572
19	3BB4B98A-D52C-E7E3-304E-778F4D505231
9	3C934B36-FEF6-4E1A-9548-2C7ECDFC8302
4	3E544C9A-4770-D0A5-ED75-EC4827D841CE
13	3FBA0F60-847E-D156-1B87-0606BCA1C14C
9	3FBB7210-2929-E998-BD25-EFAFB1FAFE01
4	3FDDFE95-3FD4-1D04-7E89-F4E78953FA48
11	410529CE-87BC-7E98-B23F-F0CB385614C5
20	41299AD2-2343-D624-D9B0-5577B870BD7F
25	41DB114A-7AD4-F81C-9E08-653780DDAC17
23	42AD6B24-B82A-3FC3-F29C-BF010EC98E0A
30	42B6A166-7499-E4A9-313D-62C79B2215D4
4	4308D6C6-6D9F-7417-1ED0-28FDFAF87F19
23	43110A52-B375-AF23-6603-268B825223EE
4	431A18E2-065A-4591-2283-71DF67FB318C
30	4395A381-78D4-F60A-EEA4-7DE22F97CED3
25	43962B62-A898-E584-AD2C-5B5603287A7C
15	43A9B63B-4A75-FF71-8595-0104C9207729
24	445796C0-0361-B7A8-3492-856158141FF6
27	445CB8FE-F845-712E-2925-54397ED2C495
30	44A76EDD-DF06-3735-C0F0-14A44BF03FD8
9	44D7AE0B-6DB7-1A17-B7D3-0627C17181A2
2	45737D00-110E-1CE8-A3A3-888448AE6B99
20	47582188-4A8C-11FD-005E-AE7AD857B8A6
12	47699540-59AA-39B7-3A94-3B37048250A6
30	49E60E68-43CF-A825-BDB3-45CE76F2616B
9	4ACD83BD-CB8A-BA1D-7E53-67DD7154CD34
29	4B8A1D7F-6A86-C7D8-94AE-193E06BD847A
9	4B94DF4F-0F15-019B-25D0-2645003A7710
33	4BD45A2F-3DD1-C915-0F03-D8907FD89C4C
9	4BF2AB5D-94B4-0DD7-73EB-781A242B290F
13	4C628EC2-4DE7-268F-5E5A-AFAE084261BF
17	4C710F2A-1F66-5420-2199-4881888AC714
8	4C7BF626-D1AA-44E0-6CC4-20CA7423C2E2
13	4C8FA179-949E-33EF-1D29-E8D1C02BA669
19	4CEA98B5-87A8-11E8-7D33-066BEC91C851
19	4E18C53E-B8AB-6956-1106-E83E2625D52C
11	4EA144F1-1145-D7CB-B7F4-24B4AB8A9D2A
18	4EB45BF8-E20C-ED7B-4047-7A7A80391F07
9	4F25B63F-7F6C-74FC-4519-E45D80F8D80D
19	4F4C6741-E6C8-80A7-E6E3-83B34A25C17D
12	4F696970-A06E-6E34-8836-13825E708B67
32	4FBC4742-4930-5E0C-6A51-1174A3BB5E24
9	501F6CDF-2A67-607F-8CD2-99233DDD889B
31	506792FD-3545-049A-703E-8D51FC665122
9	510A0865-5FF8-E01B-3748-B48CA529F7F8
11	516F3CDC-27AC-361F-6591-4F1AC5186D12
39	51853498-8679-EA8E-8647-CA6DD3B52C5C
30	5202DE1C-ABAE-0ACA-76EE-22E2F0B7A94E
4	52A3063C-193F-6D70-6325-56071C390669
22	5303FB63-C3D7-414A-4BBE-5A92756AC821
13	532D9A0F-C95F-AE29-1E1F-F5FD9045BCB7
13	53F90268-2EDA-082B-54C8-18211EAE5FF0
21	55C02FAE-04F2-CD54-276D-72B322975103
19	55DCEDF7-A014-79E0-52CB-35ED28C27587
28	56B7D115-A486-2CE2-6BEB-FC877FBC4856
13	56C7EE1D-BB45-7CC8-F2CD-3399965687F0
21	570C82E8-C08F-87E0-D665-572E8D9250FB
9	577601B3-BD77-46CA-7386-07295066E596
9	5792A318-C2E1-9CC5-5CC9-65C93122446D
13	57C5ED8C-5A9D-CCA8-F8EA-C2B72509E1DF
9	58109612-A500-A90D-2A1B-7A41830B9AFE
24	5859A35D-D5D9-3ECB-45EC-C74BA1A420E4
13	5A08FA31-4CD3-1922-33FD-993898B58C6F
4	5A8EA086-2F78-C83A-D4DE-8619B64ABE7A
2	5A9C5BE2-F9BF-50F3-B8C9-4F96EF484116
10	5B327277-A251-6068-5FF8-B38B6197E612
23	5B492561-C2CD-045D-834A-6C031F5AA1BB
13	5B728381-5EBF-ED95-BF79-67CDE87BB166
17	5B90E703-443A-F5B3-99C8-82AECA605238
9	5BAF58BE-34A8-8BEE-8CD6-EE42CC0AAC8A
11	5BB31680-E88B-E3E2-131A-2E9F87B9AD31
9	5C1D0078-4E06-B80F-6ED7-5AC7C8C26DCA
20	5C1DDB67-F39B-9277-DFD9-6FF207238047
88	5C9CF2ED-0723-3DB4-37DF-D5A248EB713F
24	5CE05F83-0A52-5AEF-42B7-2C35D9137688
23	5DEFB059-9F29-1336-26D4-FE88DDAF82F3
11	5DF50D48-C9FB-E85B-D446-77683CAF1832
30	5DF58500-4E29-DAFC-5990-E6F16324E084
30	5F26BD7B-8C1A-C481-B6C7-75C9081BA16B
13	5FE019E8-BDAE-A85B-3252-5B59FD8401D0
9	604F505C-6A15-803D-DDA6-79FCFE9B58BA
13	607D5395-4772-EA03-B151-793D68276E6D
14	6128063E-FE48-2F5E-2ADE-328B08DCFA5B
4	617E290E-3BB0-31E8-3AF1-506A23224850
13	62236363-7284-0D9E-71FA-D953BC994E20
32	62E37500-8D28-D845-A1B7-33453E9046EE
24	6367EE13-2081-18EC-7E0E-A7E0FE40478B
9	637CFBFC-F50B-0C4E-242D-509CC3CEDABA
9	639654C6-2E63-B017-55F9-92C6F71C91C7
7	6533826F-87B4-C5DD-9B29-4642A8C16333
19	653D613B-F14A-D747-8B8E-6962034522C1
11	666BC0AD-8D3A-2372-275C-A168BE34B74D
9	66A12909-D6AE-C19A-D1DB-38AAFEE525DD
30	66A3E79A-3BA9-6E5C-070D-2C3E47FCC63E
17	67065772-9256-766F-4AE3-3FD14F48CBB3
11	67FF4607-F6B9-9C3C-5804-63E321E6DFC1
16	692E3ED1-F47E-65AF-19CD-C60DC1E499DD
9	6A529FC5-AF83-2377-7589-AC6FD042D7D8
8	6B5FEA65-5358-4585-8F22-E0CE6F411955
39	6B67D610-D5CA-6D17-D58E-DF5E04C40706
30	6C073851-E81E-ECD1-6539-80F3D8F91D40
29	6CCD241C-C440-8A18-A366-C7475663080E
30	6D279196-8EAE-C741-4DBC-64639777499E
19	6DC6AC99-D77C-1E8A-0420-B7F6F71B3A11
30	6F907322-CB8B-A3A0-A1F4-DEF60AD082E6
9	70A76B97-2AF2-4511-A55C-61A663B4229F
9	70B3447F-89D4-ABBE-0C02-2541C7FEB3A5
16	70DF7243-5C99-149D-B427-97FC93BA7BAE
19	70E3D59F-ECC2-B0AC-1874-AE94BFC1413B
13	71605444-AFF5-36EE-4E66-460A7EDD64E8
28	7335FD0C-D25E-3FEE-86F3-9988D08ADA92
13	738D13A4-74C6-E69B-B49C-B83FF79D745C
30	739CC525-7C0B-803C-AFA1-50ADE5C0E27F
19	73AFBAC6-A4AE-0BB3-28CE-AAEE7D9DDB07
16	73D580EA-56C4-67B8-0511-11FB82FA71B6
48	74196C82-8A79-683E-98AD-AF1389E77E4B
32	741D1D78-5827-3DB8-ACC8-36EA0FAB194B
23	749262FA-26A3-C33F-68A8-9E8B6C558276
9	74D0DBC1-8530-4ABB-2E5D-3C9B9DE7FCF4
11	751E25FE-3BA3-6DB7-EF16-77049212D9D8
30	752F6FD3-B466-F603-8963-24914FFBACF5
13	757B0F72-8A9A-CB95-F61E-72464E9268C0
9	75EC75BB-0411-A903-787F-B57D149BE643
13	75F74EE4-8CFA-6FC3-43A7-63E3B11E3D86
30	77651B1B-AF4A-D0FB-6017-32DC9C62557E
23	788B60F8-7D3C-747F-BB1F-306924218546
23	78DEF9B0-D751-E725-1136-9620E71782B5
32	78FC649E-6CB3-07CD-1B6E-AD1A3C8D7E3B
9	7AD3F10B-BA70-7FCE-3766-1D53256A11E0
12	7B08C639-9B75-6BF6-D732-86550DF5E845
28	7B1ECD92-357B-43B5-507C-22B1CDC6210D
26	7B8FC763-012C-254A-7D9B-1E741676D84D
7	7C04042B-BEF3-7FFC-AF69-CD22CD584507
13	7DA52277-DFF4-5B00-9C52-43F305F7A58D
19	7E9F75E1-49F3-B7AC-6E1B-50B52F10C750
30	7F3E1C0F-EC78-D87D-A60F-F8782B6392B1
21	7F8817B0-D1ED-4B5B-C429-D98606D119BD
9	8008E4F3-455A-F605-ADCF-4346802517C4
34	80BF7E4E-A44A-6473-A39C-24E5E547D329
9	815013EE-FD07-D364-559E-02092C6BD6E5
30	81810DFF-938B-B923-D12E-5F27674F6378
13	819D0A9B-BE7E-323C-7962-3B455062C820
15	81A70594-A46F-7C87-3D6A-92AB4595931E
27	8233023A-65AB-0C78-9BC2-7DB6B5B69703
32	828A5486-DC41-AD47-A99E-8208EA29D556
8	852AA3E2-67F9-87D0-DBC3-6A7D9F264CB0
23	859F2897-5820-D2CA-8BDB-B496B533615A
9	85B425C0-B81F-3B19-D8DB-9E158CAD2D11
9	85D7803C-F399-9AF2-ECBE-059F3C8AC250
9	8642F713-F913-EEEC-5E9D-CDFADA67ADFF
9	864E624C-5ECE-CBC5-8E21-F3B00BCB6A7C
11	866E80BF-4A2D-60F4-F81A-0697505309D8
33	86A8CD4D-30B2-7A30-4DF5-2BF0F64D163E
3	86FB34B7-E960-D7EB-71E7-FE07595AF4F8
31	87383946-D1E0-2CA9-DEC1-62226467F414
27	87CBC435-6011-484A-1F8F-AD0EBB458118
9	88FD4F84-8E1A-8F84-096F-20A082E5972D
12	892431AF-AE48-A283-712B-360CE4DDE970
19	89AAFE19-06AC-2A32-2022-D7FE8AA0D216
13	89AB5F06-8022-D097-6879-DD32F2E06C8D
7	89CE551B-27BD-A15C-29B8-AA2DB2E98037
12	8A4791A5-0552-4199-F5C3-B9E0BF6F6351
16	8B9829EA-626D-4744-ECE5-B8E51CE17122
19	8C0B7CEB-E308-8DB7-3C47-48A4803FC658
8	8D3809FE-0EA0-8CFF-9B06-FEB2B20CC26A
31	8D858C6D-A921-773A-5CD1-A5294164BADF
9	8DDE29CD-A95E-B7DE-390B-8B12A68F4ABD
7	8F63D158-BFC7-5348-6A53-C6ABB8B8A3BB
4	8F9148AD-4A61-3CD1-81B6-5F9DB458F1BF
10	9010DE7A-0254-5531-D00E-4BAC84A1A6AC
15	9058BAEA-5DE6-1182-2CCB-95C49F300DB3
9	9070A69D-FE3E-D55F-43F3-BE87B4B4F473
4	91FA2399-671C-49C2-DA54-A49C2A97D8C3
20	921B0267-4056-ECE3-EC9D-AAC32EA7AFB8
9	923463EE-35BC-A19C-016D-F0ACE18B1399
15	92E8AEAB-EB77-9892-C0EF-94CCA890CF86
15	93206409-ED64-F7C7-F7FE-9A3CF4396B95
19	937CCC28-3E6C-EF74-066D-9172E376DEBC
9	93C7925F-6224-524E-8455-F06A891ECD04
13	94B8525B-33E8-4670-CE17-7828BEBA93F4
30	95609943-91BE-AAA9-C86E-E525AF3F5C53
30	961B5569-CAE9-EE71-67FE-E404A2DAE4CF
27	96288630-EBA2-29E1-6CB0-67702EE2F068
31	96BB998B-0E2F-27C6-F0D7-4B4F9DB0F566
30	976B97F5-8DDD-BE80-EAF3-B524657F9CC1
13	97909A86-9F51-45F2-7EB5-7310E3718C2D
15	97DF6F75-D916-6557-DEF2-4E2C936E1B04
15	97EF5148-5D5F-327C-4548-798112B94067
16	97F9E163-0A74-A884-658F-2B53AF84A697
21	982E1C0A-A0D9-FB5D-2CC5-97ED188C48D1
17	98509732-7486-7323-E1F1-807758BDBA9F
8	98CC6345-F00E-7783-0287-64321936B252
9	99BA819E-274D-CB9A-C4D3-3A50A48837A9
14	99DC231D-EB15-348E-0F06-D7C84B546E64
9	9A8CF6DE-6652-000B-9C74-7AE9DD21C8B2
16	9B0832D6-ABD2-65E2-7A83-06A179974839
19	9B35BEE0-2D87-FB69-4662-BAAB7A3CDAA2
16	9BE5FF42-3D4B-75FE-E0A7-CDC959C1D437
9	9C653391-DFB3-C039-29C6-EE8AD5B0E57E
4	9C7CA9E8-DD77-FD37-0794-53DDDCB810A7
12	9DF97840-72EB-E5D1-356D-C5427E5C1847
9	9E090EB8-0EB8-E503-D80F-36606428E9D6
16	9FA1A0DA-E022-C105-90A4-3D1238952FC4
4	A0663C2D-EF3C-3448-B285-DF519B87FDD0
31	A12940A0-5813-B25B-3FE3-59B6F1F7FF50
31	A1594A9D-8E11-407D-5B70-8EF122C5561A
16	A1820CC4-49AF-58CE-0BA9-202E36578AD5
27	A21F1C3D-049B-238F-6229-407D46B7CC26
3	A2F52BAE-A65C-E3EA-4A36-D538174EB0CC
9	A38703CF-D84E-9382-9ED4-029304F6B0AB
30	A3AEF31D-4FB7-3232-89C1-64875B662A88
15	A3CD4A3B-433B-3012-1DF5-AF0E821E8EB8
13	A4A59DAC-AECC-EE8F-6075-B3999E61E451
9	A535FDBB-B80E-9E55-1E91-92B5A0C8FF89
9	A6000EE8-D5B4-EA06-3A24-F233392BBFE3
45	A61A6F2D-6FE9-304C-3E2C-B5A05419023F
9	A643AB09-E97D-B2AF-FFD3-9D228C1E1845
9	A6B28EAA-B770-1575-9DDD-602C0305703A
11	A713E2AE-C439-420A-F026-FC0B19686F5C
9	A7182F9F-441B-5B1A-F6C9-A51C73F13C82
9	A7D66E5A-6C5A-C94E-7DFA-8E9E6F943145
13	A7E2A668-065B-8379-F755-D22E0C29E099
30	A81310E0-4E33-8552-50A5-50F183DF6B6E
30	A876D7BF-0534-6045-80CB-E3B5FDD98DAC
13	A8E4E304-3B99-5AEC-E3A0-EC3B5A9E0693
30	A8F5D177-3684-E400-2B1A-B96D13E45DB0
9	AA2BEB31-6101-5397-D850-9A269F9F3777
2	AAC3889D-E10A-03E8-D34C-8515B9AC9BAD
9	AC0C42F0-2827-05AF-28AA-A4956A26A37D
30	AC60DA27-6B91-02B7-12D8-F4239FECA681
31	ACF5A75D-2CA2-95E4-EF1A-68819F8CFAD9
30	AD29FE04-48E9-1DE7-E83A-0D1538771911
4	AE1ED9FA-4BED-9785-B4A0-DBF09C5522DD
11	AE25B0CF-B237-F5A6-69E2-C960D15F181F
23	AE3C2D47-AF7D-19A3-099C-15E707A58747
9	AF07DC00-9478-B468-5A41-CC40E318A164
4	AF5BF4DF-F38E-A4C5-6BC2-AD00040D0CE8
30	AF83B284-3470-C64F-3BEF-5E62D897C683
17	B01E15ED-D8BA-7D17-CC51-ED22A4CCCFD6
27	B04352E4-FFEA-271E-3A36-397F6B669BFC
9	B04F10DD-C7A9-0AAF-1B4F-0BE8BB8CB7EA
9	B062408E-43B3-4E77-7BC7-C7C975B7580F
9	B11C701A-FBAD-99E1-4052-EA898B095F9F
17	B19949E0-0146-0A9B-2316-703626F27391
29	B2B47E4E-4D69-1E0B-3A3B-440D29E8F74E
24	B2CC5DF8-7714-08FA-EC15-76908097696C
11	B2D3F51A-E23A-1F7B-6E28-8C8FA4669231
30	B31CAFCE-8CAF-8FE8-0D25-748C760650BF
19	B354D83E-BCF9-6DF5-4A27-99D294675A20
7	B3893573-6633-6D79-F25B-9E5A01344BF0
25	B416AB6F-AE14-4BF5-B35D-C9D216D39891
9	B4C87EC3-1739-594C-30EA-91C75648C4B4
9	B54CB0EB-407B-0FEC-56E4-1C1E9DF483F4
9	B54D2B8B-86B2-5206-8FF8-D6177384A1F8
9	B5A670B3-5228-F48A-AECC-828A2BCD0146
4	B5F182E4-5DE6-99BC-9D9E-1F32A13407EE
23	B60F0CFF-FF28-32D4-94BC-8A64C8C03A74
4	B6502F18-8F1B-0114-A0C7-C61553493718
13	B65EE70D-FD83-7CE3-E758-2C48626A34A0
9	B7839141-0D3C-3B4C-E8BA-EF31334813F5
9	B816DE87-90B5-1A07-005C-2FBB152A79D2
9	B8E42FB0-BFA5-8E83-F936-C4C2B304FCA9
2	BB5C3BF4-9927-B783-7560-946690C07272
9	BBECCBA2-AACA-AEAF-F2B7-26BBE3BAC31A
15	BC4560B4-37A7-9CC8-525A-31FF751DAFBB
13	BCE66969-A00C-89E3-2A0E-FAF20290967D
41	BD19AFD1-77FD-6BDE-3BC8-5E1636DB3A95
30	BE1504A6-52CC-8540-EFDA-4CCD5EC9F87F
30	BE833AE6-2243-7C86-3225-6E19C35E9289
9	BEA7A2F0-E90C-3E95-00F5-93D303C4857C
31	C1BD7DF4-79EE-50A3-B511-B9C66794091F
9	C22DD232-0951-F857-8B7A-5550353890AA
7	C235E7B8-6623-9D1A-CF9D-2AC51353248A
16	C2A6D3B5-7E5F-EE6D-D842-86B58E8A6C7B
13	C2C2CE16-0074-6ACA-876A-C1C413D0DF1D
13	C335B87D-C543-2B8C-8628-83BDB308B411
21	C3B97E01-1B3A-18AF-647B-6B080974C4A0
12	C3ED277F-3A55-A2AF-2EE6-6404BD84ABE3
32	C56A9A53-C903-8E74-6609-162A22BC9631
7	C7F98DCA-7B76-4C7D-933B-FFA4060BAB94
9	C80F8599-9EFC-805D-E2A4-016BFE7C65B9
16	C8A2E72C-8395-8C61-4893-C28AE283A84D
30	C8C560D5-556D-D4D4-7197-E8E06E13929D
9	CB616AF6-13F9-8018-E130-527EB13ECBA2
9	CBB9F96D-76A3-4AC8-B81B-54D0969E00F0
9	CC6A4D6F-E75F-2B86-2B7F-0607CA3FE82B
23	CC817BB7-3540-A43F-CD76-39F147FE0260
11	CD1CFEF4-F39A-A5FA-5049-B56788A9F900
13	CD53BF5A-A278-13E8-1C31-3DB22D68F071
