qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
2	198C10B7-5180-A926-EA94-671C0F6B9BFD	3	4	NULL	{"time":17.2,"won":true}	1526006416000	1526006446000
2	26EDEA3E-EF82-2D0A-2A09-CDA3905A5A83	14	NULL	NULL	NULL	1526011077000	NULL
2	EEEB0B29-5B6F-AFC1-AB69-2F5B470022D6	34	35	NULL	NULL	1526018749000	1526018765000
2	1563E6EE-22D4-2083-66CB-5A8B01AD7154	136	NULL	NULL	NULL	1526019134000	NULL
2	A6065110-0EFC-FB57-3374-13E1936A53F7	140	141	NULL	NULL	1526020615000	1526020628000
2	668729F5-0421-D3ED-BDF3-9EB39AA0FD94	197	198	NULL	NULL	1526020966000	1526020977000
2	24DD5253-BB79-38E5-28B3-B9987B99F144	228	NULL	NULL	NULL	1526021367000	NULL
2	C0D8567E-9A55-F6EA-8F51-4DE981CB0120	234	235	NULL	NULL	1526021518002	1526021529882
2	4495653E-A151-9B18-4AA3-5F72C06316B8	365	366	NULL	NULL	1526069621497	1526069630669
2	D51C35DE-C03A-4755-9115-824F94028218	415	416	NULL	NULL	1526071445924	1526071454370
2	F0FA01FF-3009-836A-AB12-4D83679C44CE	477	480	NULL	NULL	1526078678000	1526078762000
2	DD7B7B96-AE21-C944-F24F-0C513AD28806	672	673	NULL	NULL	1526083663000	1526083674000
2	5B229177-BD94-8144-B02F-CB299096F46E	800	801	NULL	NULL	1526088322000	1526088332000
2	548B1BA4-D9A4-4B41-CC12-AB36DC46C90A	1507	1508	NULL	NULL	1526162345000	1526162377000
2	F4ED6BE0-39C2-D93F-8432-3C7AC28A422D	1546	1547	NULL	NULL	1526164880000	1526164893000
2	689E3572-0A2B-BA1F-2318-73273A2DCF70	1957	NULL	NULL	NULL	1526209771000	NULL
2	F9117D09-6EA5-63C3-AC61-47F0A42DF950	1961	NULL	NULL	NULL	1526216319000	NULL
2	BA456CED-9D1C-70E3-807E-894422F6F53F	1965	1966	NULL	NULL	1526216527000	1526216680000
2	0C18F415-1793-D37D-2930-EF76558A9CC7	1973	1974	NULL	NULL	1526216902000	1526216945000
2	ED725E0A-9228-E275-7C26-585FC6EFE458	1981	1982	NULL	NULL	1526217152000	1526217184000
2	CA665FE5-4C63-930A-7635-B5EA3D2C58A3	2425	2426	NULL	NULL	1526356395000	1526356464000
2	1E92F31E-20D5-1343-4E0D-D677F8BFDB35	2436	2437	NULL	NULL	1526359478000	1526359489000
2	7F44FEE1-1072-81D6-E7E6-8FEEB85E9D89	2512	2513	NULL	NULL	1526388293000	1526388311000
2	07F84A7F-6793-7FC1-E70E-B48FD76AC200	2566	2567	NULL	NULL	1526412482000	1526412493000
2	9C648055-4C19-869B-F857-AF971334DCC9	2583	NULL	NULL	NULL	1526413098000	NULL
2	1C20F8F3-5369-9BD0-3E0F-0DC3BA02BF3F	2586	NULL	NULL	NULL	1526413178000	NULL
2	D98130A7-85C2-86A6-AA56-735804336331	2587	NULL	NULL	NULL	1526413394000	NULL
2	4871FA38-7320-1D1A-9721-B615F3BFD37D	2588	2589	NULL	NULL	1526413430000	1526413440000
