count(dqid)	uid
8	0E0FDBB2-A24F-1F23-51F1-6A2998EFF2DB
1	0E0FDBBE-6E83-DF2A-C864-3F7CB60885D7
2	1257A0AF-2B1B-AD82-AB9D-9FE3008AFD12
1	1F1ECAAC-4CA1-FE37-15BA-D192A4266BC5
4	2C2DF994-C429-7D09-FB5F-84C79CA33EFD
1	2C2DF99E-6E83-DD0D-BF11-6A290F9449F7
9	38EFE986-FA53-E7A2-66C1-2F940436E510
1	3D3CE886-E60B-5C19-FB5C-B7F4BDB33EEF
1	3D3CE88A-2AC7-9C12-40EB-C08382477AE3
1	3D3CE88B-3BD6-8C1C-AE04-3F7CE53EE3E2
5	4A4B9FF2-A24F-1B62-40E4-3F7CAF9DD09B
1	4A4B9FF3-B35E-0B62-40E5-2E6D04266B9A
5	4A4B9FF3-B35E-0B63-51F4-3F7CD9FAA79A
1	4BF86D78-1B17-4ADA-1930-7E4EA596B918
1	5B5A8EEA-2AC7-9A78-EA47-0C4FE24BB683
5	5B5A8EED-5DB0-EA70-62C8-F3B029F88584
10	6869BDD0-806D-394B-D97D-A6E5053CC1B9
1	6869BDD4-C429-7945-3797-0C4FEF9885BD
4	6869BDD4-C429-794B-D979-E2A198E11CBD
6	6869BDDF-7F92-C940-62C9-E2A1C60449B6
28	6E1445AB-5428-DF2E-C339-116C1CE1D739
9	76A58E38-5406-5ABB-EC5D-31FFA3652E21
5	7978ACC5-D538-6853-51F1-6A2932422FAC
1	7978ACC5-D538-685D-BF1F-84C7760885AC
2	7978ACC6-E60B-585B-D97A-D192B9F11CAF
1	7978ACC6-E60B-585F-9D3E-95D6024EE3AF
17	8B8929FE-5876-EC19-B2A1-6DC8C5E9D812
1	9796422E-6E83-D6B6-04A1-6A29371CC147
1	A4A57110-806D-3586-04AC-B7F45CA44979
5	A4A57113-B35E-0584-268D-A6E51BD11C7A
1	A4A57117-F71A-4589-FB54-3F7CB5322F7E
3	B5B46001-917C-2491-73DB-C083E7199468
3	B5B4600A-2AC7-9494-2685-2E6D9BD00D63
1	C2C31773-B35E-03E4-268B-C0830CA00D1A
5	C2C31775-D538-63E5-379C-B7F44E833E1C
1	C2C31779-19F4-A3E2-40E7-0C4F717BB610
3	C2C31779-19F4-A3E9-FB5C-B7F4CACBB610
2	D3D20665-D538-62FA-C862-591A38EBB60C
1	D3D20666-E60B-52F9-FB52-591AC424490F
2	D3D20667-F71A-42F1-73DB-C08318E00D0E
1	D3D20669-19F4-A2FB-D97F-84C716044900
1	D3D2066F-7F92-C2FB-D979-E2A189FBB606
6	E0E1355A-2AC7-91C5-3791-6A299E811C33
6	E0E1355F-7F92-C1C2-40E3-480B642CC136
1	F1F02442-A24F-10D1-73DC-B7F4F17BB62B
6	F1F02448-08E5-B0D5-3792-591A406EE321
5	F1F0244B-3BD6-80D9-FB5D-A6E5ADBFF222
