count(dqid)	uid
17	0520CDFA-A849-EE38-6913-5256174523E5
19	0B248523-390A-03AB-1445-570E8DAEC096
19	55DCEDF7-A014-79E0-52CB-35ED28C27587
10	5B327277-A251-6068-5FF8-B38B6197E612
9	8642F713-F913-EEEC-5E9D-CDFADA67ADFF
9	9070A69D-FE3E-D55F-43F3-BE87B4B4F473
9	9C653391-DFB3-C039-29C6-EE8AD5B0E57E
9	A535FDBB-B80E-9E55-1E91-92B5A0C8FF89
9	A643AB09-E97D-B2AF-FFD3-9D228C1E1845
9	A7E2A668-065B-8379-F755-D22E0C29E099
30	A876D7BF-0534-6045-80CB-E3B5FDD98DAC
23	A8F5D177-3684-E400-2B1A-B96D13E45DB0
9	B04F10DD-C7A9-0AAF-1B4F-0BE8BB8CB7EA
9	B7839141-0D3C-3B4C-E8BA-EF31334813F5
9	BBECCBA2-AACA-AEAF-F2B7-26BBE3BAC31A
4	D3081786-DF49-F12A-9E92-A409D88A91FA
22	D7EBE8F7-46FE-DEB1-456A-B18EB8959D70
9	DD016DBB-4DCC-8542-B962-BCDE493EC14D
2	F847AEF3-5B1D-CD78-6412-609EEBDEDAAB
