count(dqid)	uid
2	0BF5E053-0E66-6F01-028C-088EFC073328
2	14920119-A4F8-AAE2-2893-303F66A6B167
2	1C113AB2-2029-D049-B7F0-8DE3F314BD2F
7	224E3FA5-2BDB-7450-2F67-89777CB61AA4
16	289E854B-219A-905A-23BE-2ECEFA9CCD44
11	2D90D163-776C-188E-928D-92B3C0AAD682
16	3A32D05C-E9A0-B51C-24D3-FD721C968814
12	4291AEED-B429-2745-9948-CC177982AC1D
30	4DC51392-1351-8CE9-B15C-F06D3AE78D3A
13	54C6AC0E-9137-5E1D-2E63-453B25194D4A
30	5C25ADBF-12A2-F1CB-FBE3-C28543746985
15	6030ED4D-A7F0-7BDA-B103-8F1B97B803A8
35	683DCE03-BB2C-0D1C-3C9C-C7D9717B2081
57	68B595D5-2E8C-147C-2934-9354F0F6385B
31	7EF0DFCC-09BB-7571-BA99-B82DA542D84C
16	8A381755-0DEB-1F63-06C3-CF3F73F476F9
13	9034E21D-FC05-09D0-C6F2-784CA1BE0286
19	9344D83B-55E1-C2A1-8C2B-817310D59EE3
43	97EDA7B9-8A9C-F673-E97F-EBA3A298B308
7	AA500165-57BF-EB06-E2CD-D3F0876BED75
32	C3F1CCF1-9751-22C2-2857-3680CDA26345
32	C62A3BD3-8DB0-1E71-B26F-94F2444776DB
16	C936691A-BCD1-2895-6A6C-CC6D1FEBD81F
