count(dqid)	uid
37	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
19	00F06E95-48D9-C869-D0EF-F234794259A1
12	0240BEE1-2F16-4EC0-9075-4EB2A0777702
38	033632A8-770D-0963-5016-9E2C08C479F6
20	0615FBB6-35A9-6CBB-5EF2-6101E02B4AB3
11	06248E3C-88E0-5DCA-5483-CCC1FE5C4F41
17	062F3F40-0779-7936-4C21-385A26B303C8
21	07E572FC-42B7-14ED-D411-E03095CEC9E6
37	0A8CFF89-6098-25DF-EC63-933C813AA4F6
9	0E54651D-3D5D-C415-29E0-9B7CA7074C0D
29	0EE12ADF-B150-03B5-8294-930BA29771EB
9	100A5554-5CDF-979D-33C5-66581B852A49
9	12134B2C-7710-6D1D-AEB2-E9187DEB62BE
27	12241157-3D2A-6B0E-D7AD-7DE3852CFAEF
2	13FF991D-EDD0-4451-EF9D-9737108B5E16
9	15011CF5-A581-388B-619A-38009E9C84B7
8	171BDA84-8BCA-A1D5-D9BF-532080E3B806
9	17C824CC-AFFF-579E-D785-B5DF61DA1976
19	18F4169D-78CE-D8BB-980B-B42CDA2224A8
37	19B92961-5F00-5FFC-8AC9-EFAF1EF3CAA1
36	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
9	1E56C223-3625-8E5E-C356-518F922A41F2
38	2107D3D8-2901-C741-A548-F665CF283927
37	23BFAC94-EBEA-29C5-7CD8-6BFFED2BFEA1
9	23E41FB5-342E-ABC1-4F20-F6737609FCBD
2	2717C3C3-904D-632D-7512-763F059F845F
15	27523161-2A9B-F1EB-21A5-F9B880B6A67D
9	27D775D3-B6FD-8A83-B7EE-738C9F53E16C
27	2829C719-7CCD-FFB1-536D-19DF59EED724
4	2DA0FE85-6A5B-229D-A09B-B71C9AA6FD3A
9	2EABF531-543A-D420-CF9D-ABAFB52BCF4B
23	2EC4866E-731A-1895-FD29-F22287250AA5
13	32787EB7-9BEA-E6FB-93ED-D7694DB4652E
15	32EC4D8C-131F-413C-1E04-B572EF25B732
7	3A5AD88C-D3F0-3658-CE3C-773A62BB5842
12	3D346368-4F35-3AAF-126F-43392E3A170D
12	3D4BFDD5-3352-F576-D365-A846F199F209
2	3E1CB136-B9CF-3E74-F1A6-B8BD4FB1B716
2	40C026DA-598C-DB84-62B7-6B9D0AF77321
9	4209F830-A5A9-FEE4-F24E-389F0CBFB06B
15	46D64FE5-2779-8AD0-C1CD-DCE8DD5462A5
11	48179329-F0AD-8C0A-29D6-E9DD9D216E47
28	4AE5BDB9-B281-30BA-FB31-C3877C6BE3D2
9	4B58BB87-B611-78FB-A182-2D9886E0D092
9	4E92C1D9-AF4A-259A-D41F-DEF32C47D4B0
27	502C0B3A-3671-0F48-E943-78488FDB969E
9	52FF231E-B44C-FFE4-4B20-54C34E3EFD9D
9	539FAE3A-B3E7-C9D6-3A70-1B803D5EEF9A
37	5573DD22-FACA-7E45-A049-F1EF33DCD690
37	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
13	5DE57AA4-9DD2-CFD7-476B-1989D21983F3
9	5E2B3B78-FEBB-4B58-A1CC-0A99AB220439
9	605CB056-FDFE-FC19-7B91-E614A42BE4D1
7	607251CA-19D4-8779-E641-F2647B0E54EF
8	607A7808-4E7D-ACB6-986F-66EBFB1ED579
9	6313746F-E1D1-91D0-A507-7A18DC43EA35
20	66472B67-A742-0E96-6210-3086A80BD8D5
9	69E9C2BF-C1FB-DA69-203D-8413F5A94040
9	6B8DA5D6-A0E1-68F1-B75C-445A37169456
11	6C5CFA28-86A0-934E-154B-82D7B799BD13
25	6D86006C-EA4C-A70D-C8D9-6A9F22EB67F3
17	6DA9F77E-0CBF-DB54-D94D-51B97F7C3AC7
9	6E056F25-F236-DE82-DBC8-C84E6F0E4BE7
12	6EEE03D5-0A47-8F02-FDAB-CCF7F906516E
24	6EEF983A-E791-B9D9-9F5B-A72011AFE078
9	715431D9-263C-7039-B53B-98C0F279B307
9	74EC93D4-97F9-0D71-0FD5-076942E31CF8
9	7620022D-35DC-B58F-5250-A538F665A388
37	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
9	76B2A7EF-F611-D9FC-2B9E-1DCC0B88A967
9	7851B33E-3746-59DA-9FDB-EA67C8E5E289
13	78ABEE92-F2F6-16E0-88B3-F6E675522D2C
39	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
9	7B01DDB5-C239-F438-DE84-EFB947C782F7
12	7B24EF5D-9953-5BA5-25E9-7AE313708E30
19	7CEF1D05-CDB9-1763-39A0-0FD845CA6A2C
15	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
40	805F3B1C-3D25-CBD9-56F9-7CEF348D8851
7	83AE7F69-95DD-14D6-37DC-D14DD4037D73
9	855F6173-8899-0EE4-074A-EFE19F82A63D
32	857AF449-80C1-B76E-9A78-D9DA2D6050BE
9	8A3FD7A2-4D93-D6B3-010C-56C73E69028D
13	8CF9AF8D-F4C8-56D9-CFC0-9D225160C587
15	912B94AF-AEE0-5173-E6FD-13F49D767644
14	917B396C-DDB8-527D-2A57-CA4F4E8CFB1B
7	92198E48-BB4C-9C68-3AC8-BA1B82D8B496
19	937004D4-F8A4-43D1-AB37-1E6CA9A4D3FD
9	94B0D1D2-8F99-04D6-CEF3-A7D5B5D93B25
37	94C9FE4C-5157-0D4C-24FA-63895034617B
4	96DBD5FE-2D02-BCAE-5B97-DCBAD4647600
19	99D293DD-BE24-633F-ACE7-791236B65830
21	9A20F9D5-70E3-23C1-9AE5-93DE3CB6D348
7	9EB1DE33-C2AF-50A5-10B3-0718DEC452A5
16	A0A0B85E-ACE3-8836-82CD-A5F6F20791AA
37	A187B4FE-9C52-A38B-3213-477D9785D45C
9	A3D8743E-04F2-41DE-660D-D1506E9F3A02
17	A4CCCFF7-CC8B-F493-8BFF-836DAC378411
9	A846FF5C-67A5-2C9E-9B85-22AD8E5D2A3E
31	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
12	B33C0FF7-DECB-7785-70AA-59796ED0E5E7
11	B3B20BA5-E1CD-BD10-5C91-A7D44DB1F803
9	B3DA5289-8022-B529-B531-94963447F917
9	B48DBE1B-70D3-B237-5B6F-6294041D8D15
9	B4A35B16-C6E4-496E-ECC2-64A0C54AD948
11	B4C4E4DA-7868-BEB8-1259-B89AE59BACCE
2	B4E5C8E7-1ED1-BD06-9D49-386A5FB477BC
10	B61C1E29-49D2-0D77-1922-E90077234E2C
13	B62C20B0-86F9-E265-08EC-1FEC2C27635B
29	BAB366D2-2197-A73D-83DC-613BAE626C77
31	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
9	BFE7DB29-51F4-C5D5-292E-CEF10C7662DB
9	C34520E6-C7DF-BD3D-F50B-4130776B4E87
4	C3A8015E-2FF8-A39D-04A8-9B1C5C285F87
4	C48F6EC2-1A0E-1E01-C066-8D90285B47A6
9	C61C7816-5E94-BCF1-9B78-AA0803F8DD86
39	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
9	CACBE0B4-43E8-5500-A3DC-9A27D2C36886
9	CE2B72AC-F4C1-6A00-F8DC-DACF544909AB
9	D1CCCD1C-6B05-4495-4498-1B9F3FE4696E
20	D46AAA1C-4B1E-B598-F639-20C3F2608004
4	D536741F-B0E1-71B6-EC63-ACA65C553634
17	D60AF329-9CE5-00E8-071E-67E4C4715449
9	D88C68DE-EF67-DB74-7344-D263CD2CD1C7
9	D8FAB54E-0A48-64B4-F3DC-643C8461C3FF
9	DF1F6DA8-9DB9-29DD-DF0B-0CD234B3D3C8
7	E0F578FB-9E53-02F9-41B9-FEF8E72E2EAA
18	E12E4714-BA4B-3E24-7CB2-6CC713E0C664
15	E2763706-0338-1E33-C979-B42AC1268558
8	E2BDF682-7CCE-72A0-3FE1-C621C0B6BB8F
19	E3F4F291-DABB-BDEB-AF55-9331C78AF11C
9	E87641A4-777C-E743-6A05-1F135445EF68
13	E8C354F3-2FAD-5F7B-3588-7E673129C817
2	E91D1FF2-C1D8-37C0-B515-ADC1DDCDD517
38	ECD7CB97-9E03-35C6-1228-D67D0D0F5FA8
9	EFDA3775-661B-EF20-9E11-287BF9D760C6
9	F2586589-0CA6-E5C9-6857-70EAA64170BE
9	F3BEE95B-5A4F-94A8-49D8-7F1A4BF0D461
31	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
9	FBD6BC70-8691-3233-CE9A-9F450CF530FA
