qid	powerup	dqid	timestamp	q_detail
13	72	2034A139-35EA-BB93-3920-64F09641985B	1527440202	{"won":true,"time":66.233333333331}
13	72	2034A139-35EA-BB93-3920-64F09641985B	1527440220	{"won":true,"time":66.233333333331}
13	71	2034A139-35EA-BB93-3920-64F09641985B	1527440271	{"won":true,"time":66.233333333331}
13	71	2034A139-35EA-BB93-3920-64F09641985B	1527440328	{"won":true,"time":66.233333333331}
9	72	9AB2F07A-DF98-C8CC-E1FA-D76A5278B68A	1527441682	NULL
17	72	AB5C4F35-389C-3489-EE40-AA0EF02AEB84	1527442369	{"won":true,"time":133.43333333333}
9	72	CF9D6967-4019-1721-01B2-7C997D061A0A	1527445282	{"won":false,"time":51.766666666665,"answer":"14:70"}
13	72	971EE74C-CE76-8DBF-9C59-896F3BF3A5C0	1527445831	{"won":false,"time":98.866666666662,"answer":"00:00"}
13	72	A8410BAF-A2F5-A0ED-9281-3A4103FB7556	1527445946	{"won":false,"time":166.28333333336,"answer":"00:00"}
7	71	F694A8B3-1184-D4C1-A1D7-7AF838D42880	1527446242	{"won":false,"time":22.766666666667,"answer":"0 6 0 4 9 \\/\\/\\/ Correct: 409"}
9	71	E0725C62-EA90-98DA-6B2F-7C8137A6645E	1527451194	{"won":false,"time":8.3133500083932e-11,"answer":"106:35"}
9	72	E0725C62-EA90-98DA-6B2F-7C8137A6645E	1527451197	{"won":false,"time":8.3133500083932e-11,"answer":"106:35"}
15	72	058FB7F5-83B5-BAFD-0C95-1656DE59B6DA	1527451851	{"won":true,"time":126.93333333333}
17	72	6A104FB0-B5B8-A6B5-C29A-42CD505E1FEE	1527452038	{"won":true,"time":131.7}
7	71	E1A48254-2947-252F-B621-6ADB14C1AD3B	1527452255	{"won":false,"time":36.249999999999,"answer":"0 0 8 5 7 \\/\\/\\/ Correct: 533"}
9	72	8DE93100-9A0B-799E-985E-407A00488425	1527452732	{"won":true,"time":139.81666666667}
11	72	3C65FD6C-9193-FED5-46F8-1B4A31603197	1527452741	{"won":false,"time":6.4915184339043e-11,"answer":null}
13	72	62373927-3651-216E-BFB5-3C92FE7A04CC	1527452957	{"won":false,"time":115.98333333333,"answer":"00:00"}
11	72	1B608CF5-5426-A16D-5846-8251A7FB3D7C	1527453864	{"won":true,"time":214.2333333334}
15	72	91B22545-62C7-7848-1132-9851E3138F27	1527454198	NULL
11	72	3E4A5B5E-E46E-6FB2-105D-986A59FAC040	1527454368	{"won":false,"time":273.60000000008,"answer":"05:40"}
