aid	qid	uid
7	1	83AE7F69-95DD-14D6-37DC-D14DD4037D73
7	1	83AE7F69-95DD-14D6-37DC-D14DD4037D73
9	3	83AE7F69-95DD-14D6-37DC-D14DD4037D73
7	1	FDCC4409-DC5C-DEAD-6574-F1EE77244071
7	1	FDCC4409-DC5C-DEAD-6574-F1EE77244071
7	1	FDCC4409-DC5C-DEAD-6574-F1EE77244071
7	1	FDCC4409-DC5C-DEAD-6574-F1EE77244071
7	1	FDCC4409-DC5C-DEAD-6574-F1EE77244071
7	1	FDCC4409-DC5C-DEAD-6574-F1EE77244071
7	1	FDCC4409-DC5C-DEAD-6574-F1EE77244071
9	3	FDCC4409-DC5C-DEAD-6574-F1EE77244071
10	4	FDCC4409-DC5C-DEAD-6574-F1EE77244071
10	4	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
6	5	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
10	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
30	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
21	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
15	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
40	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
41	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
7	1	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
7	1	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
7	3	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
7	3	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
10	4	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
7	1	76B2A7EF-F611-D9FC-2B9E-1DCC0B88A967
7	1	76B2A7EF-F611-D9FC-2B9E-1DCC0B88A967
7	1	76B2A7EF-F611-D9FC-2B9E-1DCC0B88A967
7	1	76B2A7EF-F611-D9FC-2B9E-1DCC0B88A967
7	1	76B2A7EF-F611-D9FC-2B9E-1DCC0B88A967
7	1	76B2A7EF-F611-D9FC-2B9E-1DCC0B88A967
10	6	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
30	6	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
21	6	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
7	1	7B24EF5D-9953-5BA5-25E9-7AE313708E30
