count(dqid)	uid
15	00569BA4-53A2-E965-2A43-B00359DB95EA
16	006E891C-8B56-41D2-BB11-469A6C17E19E
7	01A6FE92-4A89-986A-B4E1-0C431F44983C
15	01FDE082-257C-B02E-B93E-6C7486DD0CB4
39	033632A8-770D-0963-5016-9E2C08C479F6
42	0423F777-83B8-ECEB-C7AA-70F472AD4E47
9	066839DC-A746-ADD6-7E3D-143AFEB85C0F
17	0689AAE7-F8A7-053F-E252-989937140432
2	07A25CD0-A034-8DF7-6772-0CD50DAA5798
25	08BA1F60-817B-5D3E-7858-AAF255D50845
9	09CD4B6F-EE0E-3A60-A8B6-4E3CC6BD1123
7	0ADCB16B-D937-3A7F-956E-3CAC35F7780B
38	0B793275-9382-E9CC-B51F-43393F8E6571
35	0B7978D0-D10A-18BB-02D1-3A88A37EBE06
23	0D9E76AF-DC26-5EC3-3377-D40AEA710A20
4	0DCCC82D-31A3-A531-2363-E92E1287CEE2
16	0F9F64B2-241E-4703-8724-5D02DB52AFFC
2	0FD76B72-B63B-ACF8-5F5D-2A2362A3D2E0
4	1188DC0D-2082-C7E4-7806-3F0F468F722F
29	12FD0770-135B-07F1-1245-A3E7E79AAD62
12	15016C94-D0B5-2D82-D218-72C80AC18F0D
4	152113A8-DE7B-7E3F-09DD-2577B22A9B0C
19	154039F6-7A5E-31DA-24E5-1E076565D15C
13	1582F73A-2358-23D8-DAC0-A7D9B86667FB
44	164DD44A-4F1B-8E4B-252C-243A58F005A6
17	1745581C-E6DE-6762-517C-AA078B2614FD
19	18B3DE46-9BD1-1D73-C963-F94C4273E97A
3	18EC605E-A8F0-4A6C-774D-2CADF8B32387
40	19795A00-7266-4FD6-47F3-7A5B69648B76
12	1C221C39-CED2-A64E-541E-4ADA417BD8DF
9	1CC3E17B-0497-ABCC-5DF2-7775C0E98AF0
13	2105C9E2-BE17-CB0B-3DFE-939068AEECAD
42	21D02037-B5A1-C94D-57C7-BB7F01DE32A2
33	24CE36BA-2B91-5CE3-A75D-3E7670E6AE87
9	24E2C42F-9DD8-672A-04E9-488070468D81
11	252578EE-DC96-F2CC-AFEE-E3119C14E82B
29	25DC91B7-7D0B-4EB9-9A80-3171EC4EBEF2
40	26317724-A988-613F-3501-53D702820EA0
4	26C62D9F-30AB-CCB3-C41C-1733FC963A5D
2	26DFB2E1-E95C-3355-7B68-3BB0024F810D
9	273C79CB-959C-1C54-9C3B-EB05A21267B4
19	296F1F7D-DD07-A66D-5A60-62ABD3B7BDDA
13	29759F0F-9C67-19FB-48D6-91D4DD3BC573
9	2AE00DE7-F781-F7D4-601A-65606DE84D62
10	2C905C55-F8D0-4F38-7206-99C858FDC68F
13	2DA086DC-6978-C388-6756-5793BBE1A25B
39	2EDDA3DD-E191-8F44-78AC-97CC8E4F68F0
15	2F012473-E294-848A-C846-596A31254456
42	2FAB8FA2-F5E7-4ADB-D5A7-0729E9924159
40	2FD294AA-1488-951B-2280-E9EA44C22463
17	309E0772-4F78-49EC-D4F7-32ACA1EA228D
9	312EE471-1658-ED87-0FEC-5522065EAC09
19	32660383-FA61-9A53-DAEA-23FC2E1A1FAF
15	334F7E90-BC12-5603-D6FA-1ADBA3FB095B
3	366ED6BC-6D71-C14C-E3BC-C1C80DD3711B
24	3732DB3D-6508-8C4A-4803-73655274D25E
23	373C4DDC-7C72-95C4-601B-6DCE1B8519BF
17	39ACB3B2-C974-231A-6CC5-6A26728D35B7
32	3A0D3ED2-82B5-3CE4-12CD-FD7A588F8214
40	3A534E05-2A13-EE26-340D-FED30A5AACA4
17	3DC38CC8-4464-3B34-091E-564C9738EBA6
40	3DF7EE21-92DF-520B-AF95-752BFBB383A9
9	3DFF2DC4-48BB-D054-287E-C2B5B698C730
9	3E33F82A-208D-5A01-00AE-938F2CA796CF
4	3EC9D5A4-C3CA-A4D6-D480-96569E3C57B5
29	3F605E1C-E9D2-1DEF-304E-799DAC7C80A6
9	403DBC91-8926-712B-86A6-2E573290AF3D
21	421DEFE1-737B-A6FB-CF27-4AF02B60D84D
11	44F556DD-F282-8276-0198-EBD1B178DD41
29	454D850D-21C7-E4E7-7B46-837F969BF781
22	45899EA6-DD05-C27F-EE43-1352E68FC01E
9	4609DEEE-A51E-6BA6-9525-4C3A818B74E0
13	460B32D7-1A79-B38E-1419-61F560C1310B
40	468F9FC2-F0E0-E3EE-04F5-1BFFF9392ACC
9	46B1F6EE-5A34-597A-D5EC-37FBBEFC3641
7	46E7AFD8-DF75-B39D-A808-D6838AA7A883
9	47806EF0-BE37-0C79-8469-7BD0455C82F6
9	478981D3-EDB5-7F25-8691-B84F8798E604
9	47CD6FF4-3D12-FDFD-5318-09B6CC18AC2D
8	4823C4BE-0083-8121-E636-FA97D94805F4
8	493AF356-2C81-0D51-A529-2D8E27FAFF7C
40	4AC4B92A-1312-E418-0A6F-A92E559393CF
9	4B180013-CC0C-8BFC-DB13-8032EFEB43EB
23	4B6A1C95-3C52-A43E-718B-1123E976A934
37	4D11C2FA-05AF-82FD-8FE5-55EA160EBAA6
41	4ED66055-8322-E8E0-FAB8-25B30379EF9D
13	4F7F04D9-D665-04DF-5C73-AAAA309E2431
15	4FADC1CB-901C-16E8-1160-CE9E44C4D1D0
17	503AFE70-A5AC-7B18-E2A9-425EBEB84953
37	504F8141-CB0D-2363-96D3-0864F5C33EFB
13	505A4F68-2279-2FD8-8B1A-AA7A59330D65
9	51E750CD-FD35-1137-DAE3-521BA9CCF39B
9	522BC9E5-CDB0-A85F-202B-866C96D487BE
15	523C1AC7-2BFB-3FD4-41D9-650286643F2A
17	5299CA43-8EF0-72D1-ACC5-14A1481E0476
19	562BB09B-FD74-BA1F-CDB0-BA2E4BD2DD34
4	5684A486-7A22-EC71-57C9-352081F496FB
42	56AE943B-F364-B2EA-88F8-2854E41AE9BB
13	58517497-6B26-2971-1A15-8093BDEBEE31
21	593BDE83-34C7-8895-B1B4-52D0B872D1B2
4	593FE8BA-D1F3-B752-B146-CA53F53BE0C9
9	5942FF00-5CEE-14EB-CC20-2C7FF1D1CAB7
17	59676DF4-0743-554D-0D37-0307F1ADA365
40	59D1F63A-4615-4975-626E-1ABDB34FD624
9	5B71B7E8-8718-F83C-2892-9B82EDDF7FA3
53	5BAF361B-8A9A-C8A2-BE74-9A45907892F5
9	5C1EDB41-0CAC-63A7-8715-FC5F1BD7198B
11	5CAE933D-0EF6-03EB-26D7-C5E4335DAA7B
19	5D1F792D-8171-6322-C31D-EC1D02EE1770
31	5D8950E9-295E-B0D3-5B0A-0165296A5EBD
21	5EA84657-51B3-C1E0-5C96-905C7B487271
13	5F50629F-686D-CF3D-FB57-A28B2CB82951
7	5F665490-0FAB-2B08-2260-2CF42B52044D
35	5F90745D-FE0B-6374-207A-CCA7AA61D188
13	5FAFF329-571E-AF2C-AE89-56EF5603721F
9	604F225A-87F5-A535-C1F3-175A19522032
8	60D0FFA3-4502-8B07-F205-743A65E6061C
21	60FF7E8B-5B24-3C2B-7823-A6E7439CA473
25	6124EDFC-838D-48BE-382E-DE2C0431F1DF
13	6197F01C-56A1-B74F-8C05-6D07DBFD635B
19	61E374D9-BB0A-C885-D9CD-A9DA0DB9F4F9
13	6553D6E3-B3A8-CDE1-916E-710041F928CC
9	67EE837A-90A7-A564-46AE-EB85DB5989C8
24	68E3083A-9910-C591-FBE7-E68E11D87B02
21	6A1490AD-F7B5-8743-64FE-93ECA55BAC7D
42	6B0AA97A-2AA2-8163-FC2E-57C3B9958113
3	6B0C62DE-E907-9FB2-FCBF-9E0DCBAA40C4
20	6D3DDCEB-14CD-1781-4958-EA14D4863772
9	6F2539D6-2E8D-89F0-2ADD-C2B9553F2E21
4	70512AF8-2D79-B163-C37B-47A2F487D697
38	70676C64-1086-D906-339D-8A31901B9800
30	711F3E2A-19ED-BF01-D454-9D701B699856
9	719B9823-0494-66C9-A39B-536401D4FCB0
19	76533D95-54D8-F807-4723-9E65DE09E3FD
86	76877544-3D1C-AF61-BD08-733A99FBC514
17	7700AB05-D77F-03A9-ACC8-403D008FCE3D
40	771ED06D-2E00-B1BC-18B0-02868250D24D
25	777DD6C1-FB1D-9EC1-27D5-47DAC449C5A7
40	79A06E29-9093-F9FC-663B-53C2461BF4CE
9	7A18D3E0-7120-F7DB-C4B7-B2AC9E69E460
17	7A2A4FD6-AB4F-EADE-8E00-68FD632F54C3
2	7AD3F10B-BA70-7FCE-3766-1D53256A11E0
35	7B9C6CAA-3544-FD71-53B3-8C4813018A60
4	7BE8F65C-7AA1-2253-2C9B-00C56E7CF9E9
39	7C12BB3B-2B8C-CC00-DF64-863954DF0161
13	7C3B25BE-7290-7787-A838-45441CC56F6A
13	7D03317C-BA83-5AEC-A39F-5AEC24895694
51	7DDD437F-B000-35DC-583D-A52FDBA2BD0C
3	7F12800B-DF7D-A51B-0EDC-BABA4BC60914
15	7F44535D-8DC5-D841-1F62-AD7456D9A86A
11	7F959245-E515-DACC-CFF2-760026DE6DAB
13	8035B4EA-0843-B94B-584A-5D4455D40322
