aid	qid	uid
21	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
15	6	7FA1EBBF-D768-EDB3-B573-C9757CF2B5BE
21	6	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
21	6	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
11	6	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
11	8	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
13	8	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
16	10	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
12	10	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
16	12	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
12	12	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
11	14	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
17	14	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
16	14	1AD4D95E-CEFA-13FB-573A-96BB22DFBD39
21	6	00F06E95-48D9-C869-D0EF-F234794259A1
21	6	00F06E95-48D9-C869-D0EF-F234794259A1
15	6	00F06E95-48D9-C869-D0EF-F234794259A1
13	8	00F06E95-48D9-C869-D0EF-F234794259A1
21	6	66472B67-A742-0E96-6210-3086A80BD8D5
21	6	66472B67-A742-0E96-6210-3086A80BD8D5
12	6	66472B67-A742-0E96-6210-3086A80BD8D5
21	6	2107D3D8-2901-C741-A548-F665CF283927
12	6	2107D3D8-2901-C741-A548-F665CF283927
11	6	0EE12ADF-B150-03B5-8294-930BA29771EB
12	8	2107D3D8-2901-C741-A548-F665CF283927
11	8	0EE12ADF-B150-03B5-8294-930BA29771EB
11	10	0EE12ADF-B150-03B5-8294-930BA29771EB
12	10	2107D3D8-2901-C741-A548-F665CF283927
11	12	0EE12ADF-B150-03B5-8294-930BA29771EB
12	12	0EE12ADF-B150-03B5-8294-930BA29771EB
12	12	2107D3D8-2901-C741-A548-F665CF283927
15	6	A4CCCFF7-CC8B-F493-8BFF-836DAC378411
11	6	A4CCCFF7-CC8B-F493-8BFF-836DAC378411
12	16	2107D3D8-2901-C741-A548-F665CF283927
21	6	B62C20B0-86F9-E265-08EC-1FEC2C27635B
15	6	B62C20B0-86F9-E265-08EC-1FEC2C27635B
12	6	B33C0FF7-DECB-7785-70AA-59796ED0E5E7
15	6	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
21	6	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
12	8	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
12	10	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
13	12	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
16	14	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
12	16	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
16	16	CA9C004F-25DE-8ACE-2A74-1E44A9A5576E
15	6	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
21	6	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
12	6	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
21	6	32EC4D8C-131F-413C-1E04-B572EF25B732
21	6	32EC4D8C-131F-413C-1E04-B572EF25B732
13	6	32EC4D8C-131F-413C-1E04-B572EF25B732
21	6	32EC4D8C-131F-413C-1E04-B572EF25B732
21	6	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
15	6	32EC4D8C-131F-413C-1E04-B572EF25B732
12	8	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
15	6	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
16	10	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
12	10	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
12	8	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
11	8	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
16	12	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
12	12	F7E42E38-E7F1-A888-7C38-75E2D7B2D0D8
12	10	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
12	12	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
15	8	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
12	14	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
13	10	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
15	10	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
12	16	7A5B14C8-F22B-D1B9-3B1B-3AF0B1040C42
21	6	FBDAA510-6C4E-7F0E-24F9-16DF5386EBEF
15	6	FBDAA510-6C4E-7F0E-24F9-16DF5386EBEF
16	12	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
15	12	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
18	14	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
15	14	AE2B8CE6-E37C-C774-9BCE-363AC9720C36
12	10	FBDAA510-6C4E-7F0E-24F9-16DF5386EBEF
12	6	2EC4866E-731A-1895-FD29-F22287250AA5
12	8	2EC4866E-731A-1895-FD29-F22287250AA5
16	12	FBDAA510-6C4E-7F0E-24F9-16DF5386EBEF
12	14	FBDAA510-6C4E-7F0E-24F9-16DF5386EBEF
15	10	2EC4866E-731A-1895-FD29-F22287250AA5
12	10	2EC4866E-731A-1895-FD29-F22287250AA5
21	6	937004D4-F8A4-43D1-AB37-1E6CA9A4D3FD
12	6	937004D4-F8A4-43D1-AB37-1E6CA9A4D3FD
11	8	937004D4-F8A4-43D1-AB37-1E6CA9A4D3FD
12	8	937004D4-F8A4-43D1-AB37-1E6CA9A4D3FD
21	6	27523161-2A9B-F1EB-21A5-F9B880B6A67D
15	6	27523161-2A9B-F1EB-21A5-F9B880B6A67D
21	6	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
11	6	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
12	8	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
16	10	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
15	10	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
16	12	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
17	12	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
11	14	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
14	6	502C0B3A-3671-0F48-E943-78488FDB969E
15	6	502C0B3A-3671-0F48-E943-78488FDB969E
18	16	765ECFB9-F0BE-6E84-EF46-A77F4994EC2F
15	8	502C0B3A-3671-0F48-E943-78488FDB969E
12	8	502C0B3A-3671-0F48-E943-78488FDB969E
11	10	502C0B3A-3671-0F48-E943-78488FDB969E
21	6	99D293DD-BE24-633F-ACE7-791236B65830
12	6	99D293DD-BE24-633F-ACE7-791236B65830
21	6	5573DD22-FACA-7E45-A049-F1EF33DCD690
15	6	5573DD22-FACA-7E45-A049-F1EF33DCD690
12	8	5573DD22-FACA-7E45-A049-F1EF33DCD690
12	10	5573DD22-FACA-7E45-A049-F1EF33DCD690
15	12	5573DD22-FACA-7E45-A049-F1EF33DCD690
16	12	5573DD22-FACA-7E45-A049-F1EF33DCD690
12	12	5573DD22-FACA-7E45-A049-F1EF33DCD690
16	14	5573DD22-FACA-7E45-A049-F1EF33DCD690
18	14	5573DD22-FACA-7E45-A049-F1EF33DCD690
12	16	5573DD22-FACA-7E45-A049-F1EF33DCD690
21	6	912B94AF-AEE0-5173-E6FD-13F49D767644
12	6	912B94AF-AEE0-5173-E6FD-13F49D767644
21	6	46D64FE5-2779-8AD0-C1CD-DCE8DD5462A5
15	6	46D64FE5-2779-8AD0-C1CD-DCE8DD5462A5
21	6	94C9FE4C-5157-0D4C-24FA-63895034617B
15	6	94C9FE4C-5157-0D4C-24FA-63895034617B
15	8	94C9FE4C-5157-0D4C-24FA-63895034617B
12	8	94C9FE4C-5157-0D4C-24FA-63895034617B
12	10	94C9FE4C-5157-0D4C-24FA-63895034617B
16	12	94C9FE4C-5157-0D4C-24FA-63895034617B
12	12	94C9FE4C-5157-0D4C-24FA-63895034617B
18	14	94C9FE4C-5157-0D4C-24FA-63895034617B
12	14	94C9FE4C-5157-0D4C-24FA-63895034617B
12	16	94C9FE4C-5157-0D4C-24FA-63895034617B
16	12	502C0B3A-3671-0F48-E943-78488FDB969E
14	12	502C0B3A-3671-0F48-E943-78488FDB969E
21	6	E8C354F3-2FAD-5F7B-3588-7E673129C817
15	13	502C0B3A-3671-0F48-E943-78488FDB969E
15	6	E8C354F3-2FAD-5F7B-3588-7E673129C817
21	6	E8C354F3-2FAD-5F7B-3588-7E673129C817
13	6	E8C354F3-2FAD-5F7B-3588-7E673129C817
21	6	E2763706-0338-1E33-C979-B42AC1268558
12	6	E2763706-0338-1E33-C979-B42AC1268558
21	6	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
15	6	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
12	8	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
16	10	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
12	10	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
16	12	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
12	12	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
16	16	008C6B45-8721-1A27-A5E5-96A5E3BF3C2F
21	6	9A20F9D5-70E3-23C1-9AE5-93DE3CB6D348
11	6	9A20F9D5-70E3-23C1-9AE5-93DE3CB6D348
12	6	07E572FC-42B7-14ED-D411-E03095CEC9E6
12	8	07E572FC-42B7-14ED-D411-E03095CEC9E6
21	6	E12E4714-BA4B-3E24-7CB2-6CC713E0C664
15	6	E12E4714-BA4B-3E24-7CB2-6CC713E0C664
12	8	E12E4714-BA4B-3E24-7CB2-6CC713E0C664
21	6	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
11	6	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
12	8	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
12	10	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
11	12	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
12	12	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
12	14	BBEA05B9-07EA-7489-8AD2-76D2AE21BDC3
21	6	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
21	6	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
12	6	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
12	8	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
21	6	A187B4FE-9C52-A38B-3213-477D9785D45C
12	6	A187B4FE-9C52-A38B-3213-477D9785D45C
11	8	A187B4FE-9C52-A38B-3213-477D9785D45C
12	10	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
15	8	A187B4FE-9C52-A38B-3213-477D9785D45C
16	10	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
12	8	A187B4FE-9C52-A38B-3213-477D9785D45C
11	10	A187B4FE-9C52-A38B-3213-477D9785D45C
12	10	A187B4FE-9C52-A38B-3213-477D9785D45C
12	12	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
16	12	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
12	14	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
18	14	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
15	14	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
12	12	A187B4FE-9C52-A38B-3213-477D9785D45C
15	16	FD8ADD48-F37B-418A-D3E8-F2AAAF0B5A51
12	14	A187B4FE-9C52-A38B-3213-477D9785D45C
16	14	A187B4FE-9C52-A38B-3213-477D9785D45C
12	16	A187B4FE-9C52-A38B-3213-477D9785D45C
21	6	BAB366D2-2197-A73D-83DC-613BAE626C77
12	6	BAB366D2-2197-A73D-83DC-613BAE626C77
15	8	BAB366D2-2197-A73D-83DC-613BAE626C77
12	10	BAB366D2-2197-A73D-83DC-613BAE626C77
21	6	2829C719-7CCD-FFB1-536D-19DF59EED724
21	6	2829C719-7CCD-FFB1-536D-19DF59EED724
12	6	2829C719-7CCD-FFB1-536D-19DF59EED724
16	10	2829C719-7CCD-FFB1-536D-19DF59EED724
12	10	2829C719-7CCD-FFB1-536D-19DF59EED724
12	12	2829C719-7CCD-FFB1-536D-19DF59EED724
16	12	2829C719-7CCD-FFB1-536D-19DF59EED724
21	6	D46AAA1C-4B1E-B598-F639-20C3F2608004
12	6	D46AAA1C-4B1E-B598-F639-20C3F2608004
11	8	D46AAA1C-4B1E-B598-F639-20C3F2608004
12	8	D46AAA1C-4B1E-B598-F639-20C3F2608004
21	6	7CEF1D05-CDB9-1763-39A0-0FD845CA6A2C
12	6	7CEF1D05-CDB9-1763-39A0-0FD845CA6A2C
12	8	7CEF1D05-CDB9-1763-39A0-0FD845CA6A2C
21	6	A0A0B85E-ACE3-8836-82CD-A5F6F20791AA
21	6	A0A0B85E-ACE3-8836-82CD-A5F6F20791AA
12	6	A0A0B85E-ACE3-8836-82CD-A5F6F20791AA
21	6	null
15	6	null
13	8	null
15	8	null
16	10	null
12	10	null
21	6	5DE57AA4-9DD2-CFD7-476B-1989D21983F3
15	6	5DE57AA4-9DD2-CFD7-476B-1989D21983F3
12	12	null
16	14	null
11	14	null
12	6	062F3F40-0779-7936-4C21-385A26B303C8
16	16	null
15	6	805F3B1C-3D25-CBD9-56F9-7CEF348D8851
21	6	033632A8-770D-0963-5016-9E2C08C479F6
21	6	033632A8-770D-0963-5016-9E2C08C479F6
15	6	033632A8-770D-0963-5016-9E2C08C479F6
16	10	805F3B1C-3D25-CBD9-56F9-7CEF348D8851
12	8	033632A8-770D-0963-5016-9E2C08C479F6
15	8	033632A8-770D-0963-5016-9E2C08C479F6
12	12	805F3B1C-3D25-CBD9-56F9-7CEF348D8851
12	12	033632A8-770D-0963-5016-9E2C08C479F6
16	14	805F3B1C-3D25-CBD9-56F9-7CEF348D8851
12	14	805F3B1C-3D25-CBD9-56F9-7CEF348D8851
16	14	033632A8-770D-0963-5016-9E2C08C479F6
18	14	033632A8-770D-0963-5016-9E2C08C479F6
12	16	033632A8-770D-0963-5016-9E2C08C479F6
18	16	805F3B1C-3D25-CBD9-56F9-7CEF348D8851
11	6	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
11	8	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
15	10	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
16	10	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
12	12	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
16	14	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
18	14	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
12	16	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
13	16	5CF10809-AEAC-B3B7-2F6A-3C4D022A32BC
21	6	857AF449-80C1-B76E-9A78-D9DA2D6050BE
